"name","npdId","year","month","gas","gasUom","water","waterUom","CO2","CO2Uom","cuttings","cuttingsUom"
"ALVHEIM",2845712,2008,6," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2008,7," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2008,8," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2008,9," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2008,10," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2008,11," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2008,12," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,1," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,2," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,3," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,4," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,5," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,6," ","Sm3",2819,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,7," ","Sm3",12759,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,8," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,9," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,10," ","Sm3",14700,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,11," ","Sm3",36645,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009,12," ","Sm3",23545,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,1," ","Sm3",18235,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,2," ","Sm3",54362,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,3," ","Sm3",74158,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,4," ","Sm3",62972,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,5," ","Sm3",93133,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,6," ","Sm3",121209,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,7," ","Sm3",141260,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,8," ","Sm3",143496,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,9," ","Sm3",115512,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,10," ","Sm3",56841,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,11," ","Sm3",34216,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010,12," ","Sm3",83739,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,1," ","Sm3",70394,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,2," ","Sm3",80820,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,3," ","Sm3",122929,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,4," ","Sm3",87751,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,5," ","Sm3",13943,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,6," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,7," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,8," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,9," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,10," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,11," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011,12," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,1," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,2," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,3," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,4," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,5," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,6," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,7," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,8," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,9," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,10," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,11," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012,12," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,1," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,2," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,3," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,4," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,5," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,6," ","Sm3",61532,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,7," ","Sm3",156084,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,8," ","Sm3",115008,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,9," ","Sm3",172115,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,10," ","Sm3",185680,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,11," ","Sm3",182380,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013,12," ","Sm3",193612,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,1," ","Sm3",209982,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,2," ","Sm3",215505,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,3," ","Sm3",249064,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,4," ","Sm3",201604,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,5," ","Sm3",327047,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,6," ","Sm3",304785,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,7," ","Sm3",171755,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,8," ","Sm3",352911,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,9," ","Sm3",186372,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,10," ","Sm3",411669,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,11," ","Sm3",305414,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014,12," ","Sm3",441194,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,1," ","Sm3",260559,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,2," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,3," ","Sm3",126715,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,4," ","Sm3",165781,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,5," ","Sm3",193837,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,6," ","Sm3",255875,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,7," ","Sm3",327372,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,8," ","Sm3",280040,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,9," ","Sm3",285722,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,10," ","Sm3",329673,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,11," ","Sm3",111752,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015,12," ","Sm3",240314,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2016,1," ","Sm3",345593,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2016,2," ","Sm3",351495,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2016,3," ","Sm3",374470,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2016,4," ","Sm3",369011,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2016,5," ","Sm3",226332,"Sm3"," ","Sm3"," ","Sm3"
