"name","npdId","year","gas","gasUom","water","waterUom","CO2","CO2Uom","cuttings","cuttingsUom"
"ALVHEIM",2845712,2008," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2009," ","Sm3",90468,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2010," ","Sm3",999133,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2011," ","Sm3",375838,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2012," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2013," ","Sm3",1066411,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2014," ","Sm3",3377301,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2015," ","Sm3",2577641,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2016," ","Sm3",3472317,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2017," ","Sm3",4839730,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2018," ","Sm3",4480458,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2019," ","Sm3",4434940,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2020," ","Sm3",6726865,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2021," ","Sm3",6854153,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2022," ","Sm3",7439878,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2023," ","Sm3",6372546,"Sm3"," ","Sm3"," ","Sm3"
"ALVHEIM",2845712,2024," ","Sm3",491808,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,1999,27286570,"Sm3",9869,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2000,103988987,"Sm3",1047019,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2001,178529175,"Sm3",1158387,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2002,196229058,"Sm3",1528211,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2003,175689997,"Sm3",2111740,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,87980753,"Sm3",3373866,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,129543693,"Sm3",3426289,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2006,88074337,"Sm3",3956781,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2007,173592949,"Sm3",3165157,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2008,149193309,"Sm3",2706371,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2009,91106266,"Sm3",2591114,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2010,1075578,"Sm3",3234100,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2011,284525,"Sm3",3775544,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2012,682323,"Sm3",3509586,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2013,2331809,"Sm3",4040799,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2014,181942,"Sm3",3683533,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2015,14000,"Sm3",3749918,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2016,579700,"Sm3",4245620,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2017,1315500,"Sm3",4008658,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2018,0,"Sm3",2974318,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2019,7378117,"Sm3",3880625,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2020,24531963,"Sm3",3256086,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2021,20114356,"Sm3",3875338,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2022,21591760,"Sm3",2736997,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2023,17483799,"Sm3",3340049,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2024,5612195,"Sm3",402442,"Sm3"," ","Sm3"," ","Sm3"
"BLANE",3437650,2007," ","Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"BLANE",3437650,2008," ","Sm3",52913,"Sm3"," ","Sm3"," ","Sm3"
"BLANE",3437650,2009," ","Sm3",263156,"Sm3"," ","Sm3"," ","Sm3"
"BLANE",3437650,2010," ","Sm3",290684,"Sm3"," ","Sm3"," ","Sm3"
"BLANE",3437650,2011," ","Sm3",353206,"Sm3"," ","Sm3"," ","Sm3"
"BLANE",3437650,2012," ","Sm3",279659,"Sm3"," ","Sm3"," ","Sm3"
"BLANE",3437650,2013," ","Sm3",282597,"Sm3"," ","Sm3"," ","Sm3"
