"name","npdId","year","oil","oilUom","oilMass","oilMassUom","oilBbl","oilBblUom","oilSm3Day","oilSm3DayUom","oilBblDay","oilBblDayUom","gas","gasUom","gasEnergy","gasEnergyUom","gasGcv","gasGcvUom","gasMass","gasMassUom","condensate","condensateUom","oilEquivalent","oilEquivalentUom","water","waterUom"
"16/1-12 (ROLVSNES)",17196400,2021,46905,"Sm3",39393,"t",295024,"bbl",128.51,"Sm3/day",808.28,"bbl/day",9263494,"Sm3",0,"MJ",0,"MJ/Sm3",9132,"t"," ","Sm3",56168,"Sm3 o.e.",35253,"Sm3"
"16/1-12 (ROLVSNES)",17196400,2022,98317,"Sm3",82648,"t",618395,"bbl",269.36,"Sm3/day",1694.23,"bbl/day",20236143,"Sm3",0,"MJ",0,"MJ/Sm3",20100,"t"," ","Sm3",118553,"Sm3 o.e.",146477,"Sm3"
"16/1-12 Troldhaugen",17196400,2021,40660,"Sm3",34146,"t",255744,"bbl",111.4,"Sm3/day",700.67,"bbl/day",8000501,"Sm3",0,"MJ",0,"MJ/Sm3",7909,"t"," ","Sm3",48661,"Sm3 o.e.",32348,"Sm3"
"16/1-12 Troldhaugen",17196400,2022,106169,"Sm3",89245,"t",667783,"bbl",290.87,"Sm3/day",1829.54,"bbl/day",22212920,"Sm3",0,"MJ",0,"MJ/Sm3",21957,"t"," ","Sm3",128382,"Sm3 o.e.",162070,"Sm3"
"16/1-12 Troldhaugen",17196400,2023,49472,"Sm3",41547,"t",311169,"bbl",135.54,"Sm3/day",852.52,"bbl/day",12880321,"Sm3",0,"MJ",0,"MJ/Sm3",12781,"t"," ","Sm3",62352,"Sm3 o.e.",106249,"Sm3"
"16/1-12 Troldhaugen",17196400,2024,3359,"Sm3",2815,"t",21127,"bbl",9.18,"Sm3/day",57.73,"bbl/day",659862,"Sm3",0,"MJ",0,"MJ/Sm3",636,"t"," ","Sm3",4019,"Sm3 o.e.",5232,"Sm3"
"33/9-6 DELTA",44576,2009,10744,"Sm3",8905,"t",67578,"bbl",29.44,"Sm3/day",185.14,"bbl/day",1720000,"Sm3",0,"MJ",0,"MJ/Sm3",2064,"t"," ","Sm3",12464,"Sm3 o.e.",10613,"Sm3"
"33/9-6 DELTA",44576,2010,19572,"Sm3",16220,"t",123104,"bbl",53.62,"Sm3/day",337.27,"bbl/day",3131000,"Sm3",0,"MJ",0,"MJ/Sm3",3757,"t"," ","Sm3",22703,"Sm3 o.e.",38384,"Sm3"
"33/9-6 DELTA",44576,2011,19514,"Sm3",16172,"t",122739,"bbl",53.46,"Sm3/day",336.27,"bbl/day",3123000,"Sm3",0,"MJ",0,"MJ/Sm3",3748,"t"," ","Sm3",22637,"Sm3 o.e.",7367,"Sm3"
"33/9-6 DELTA",44576,2012,14373,"Sm3",11911,"t",90403,"bbl",39.27,"Sm3/day",247,"bbl/day",2299000,"Sm3",0,"MJ",0,"MJ/Sm3",2759,"t"," ","Sm3",16672,"Sm3 o.e.",3861,"Sm3"
"33/9-6 DELTA",44576,2013,5251,"Sm3",4352,"t",33028,"bbl",14.39,"Sm3/day",90.49,"bbl/day",840000,"Sm3",0,"MJ",0,"MJ/Sm3",1007,"t"," ","Sm3",6091,"Sm3 o.e.",711,"Sm3"
"33/9-6 DELTA",44576,2014,933,"Sm3",773,"t",5868,"bbl",2.56,"Sm3/day",16.08,"bbl/day",150000,"Sm3",0,"MJ",0,"MJ/Sm3",180,"t"," ","Sm3",1083,"Sm3 o.e.",5,"Sm3"
"7220/11-1 (ALTA)",25288497,2018,105931,"Sm3",128464,"t",666286,"bbl",290.22,"Sm3/day",1825.44,"bbl/day",12653173,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",118584,"Sm3 o.e.",3127,"Sm3"
"AASTA HANSTEEN",23395946,2018," ","Sm3"," ","t"," ","bbl"," ","Sm3/day"," ","bbl/day",38491142,"Sm3",0,"MJ",0,"MJ/Sm3",27729,"t",284,"Sm3",38775,"Sm3 o.e.",11,"Sm3"
"AASTA HANSTEEN",23395946,2019," ","Sm3"," ","t"," ","bbl"," ","Sm3/day"," ","bbl/day",6800207987,"Sm3",0,"MJ",0,"MJ/Sm3",4927842,"t",126375,"Sm3",6926583,"Sm3 o.e.",11082,"Sm3"
"AASTA HANSTEEN",23395946,2020," ","Sm3"," ","t"," ","bbl"," ","Sm3/day"," ","bbl/day",8838973500,"Sm3",0,"MJ",0,"MJ/Sm3",6378072,"t",133329,"Sm3",8972303,"Sm3 o.e.",20555,"Sm3"
"AASTA HANSTEEN",23395946,2021," ","Sm3"," ","t"," ","bbl"," ","Sm3/day"," ","bbl/day",9033134941,"Sm3",0,"MJ",0,"MJ/Sm3",6508503,"t",103687,"Sm3",9136822,"Sm3 o.e.",19403,"Sm3"
"AASTA HANSTEEN",23395946,2022," ","Sm3"," ","t"," ","bbl"," ","Sm3/day"," ","bbl/day",8987096526,"Sm3",0,"MJ",0,"MJ/Sm3",6504875,"t",108732,"Sm3",9095829,"Sm3 o.e.",21178,"Sm3"
"AASTA HANSTEEN",23395946,2023," ","Sm3"," ","t"," ","bbl"," ","Sm3/day"," ","bbl/day",7064871804,"Sm3",0,"MJ",0,"MJ/Sm3",5127758,"t",86024,"Sm3",7150896,"Sm3 o.e.",18212,"Sm3"
"AASTA HANSTEEN",23395946,2024," ","Sm3"," ","t"," ","bbl"," ","Sm3/day"," ","bbl/day",734125670,"Sm3",0,"MJ",0,"MJ/Sm3",534531,"t",9126,"Sm3",743252,"Sm3 o.e.",1935,"Sm3"
"ALBUSKJELL"," ",1979,602773,"Sm3",482398,"t",3791328,"bbl",1651.43,"Sm3/day",10387.2,"bbl/day",725748000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",1328521,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1980,1672441,"Sm3",1317551,"t",10519336,"bbl",4569.51,"Sm3/day",28741.36,"bbl/day",1944572000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",3617013,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1981,1718749,"Sm3",1342821,"t",10810605,"bbl",4708.9,"Sm3/day",29618.09,"bbl/day",2436508000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",4155257,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1982,1229555,"Sm3",951997,"t",7733667,"bbl",3368.64,"Sm3/day",21188.13,"bbl/day",2182505000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",3412060,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1983,954827,"Sm3",737911,"t",6005680,"bbl",2615.96,"Sm3/day",16453.92,"bbl/day",1808784000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",2763611,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1984,644901,"Sm3",499300,"t",4056305,"bbl",1762.02,"Sm3/day",11082.8,"bbl/day",1298366000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",1943267,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1985,517711,"Sm3",400387,"t",3256304,"bbl",1418.39,"Sm3/day",8921.38,"bbl/day",1131904000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",1649615,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1986,425069,"Sm3",330533,"t",2673603,"bbl",1164.57,"Sm3/day",7324.94,"bbl/day",1055786000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",1480855,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1987,331713,"Sm3",261768,"t",2086412,"bbl",908.8,"Sm3/day",5716.2,"bbl/day",867964000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",1199677,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1988,273436,"Sm3",215900,"t",1719860,"bbl",747.09,"Sm3/day",4699.07,"bbl/day",685949000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",959385,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1989,211559,"Sm3",167347,"t",1330666,"bbl",579.61,"Sm3/day",3645.66,"bbl/day",514968000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",726527,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1990,157862,"Sm3",125621,"t",992922,"bbl",432.5,"Sm3/day",2720.33,"bbl/day",384606000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",542468,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1991,128057,"Sm3",102448,"t",805454,"bbl",350.84,"Sm3/day",2206.72,"bbl/day",309300000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",437357,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1992,120665,"Sm3",96771,"t",758960,"bbl",329.69,"Sm3/day",2073.66,"bbl/day",302357000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",423022,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1993,138795,"Sm3",111477,"t",872994,"bbl",380.26,"Sm3/day",2391.76,"bbl/day",347689000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",486484,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1994,117870,"Sm3",95286,"t",741380,"bbl",322.93,"Sm3/day",2031.18,"bbl/day",295768000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",413638,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1995,106095,"Sm3",86145,"t",667317,"bbl",290.67,"Sm3/day",1828.27,"bbl/day",264719000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",370814,"Sm3 o.e."," ","Sm3"
"ALBUSKJELL"," ",1996,82917,"Sm3",66592,"t",521532,"bbl",226.55,"Sm3/day",1424.95,"bbl/day",238284000,"Sm3",0,"MJ",0,"MJ/Sm3",0,"t"," ","Sm3",321201,"Sm3 o.e."," ","Sm3"
