"name","field","npdId","year","operationTime","operationTimeUom","gas","gasUom","water","waterUom","co2","co2Uom","cuttings","cuttingsUom"
"15/12-A-1 B","VARG","7122",2014,2.67,"d",763664,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-1 B","VARG","7122",2015,37.2,"d",9509281,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-1 B","VARG","7122",2016,31,"d",2695120,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-12 E","VARG","7064",2014," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-12 E","VARG","7064",2015,16.3,"d",797866,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-12 E","VARG","7064",2016," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2004," ","d",127085478,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2005," ","d",2189830,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2006," ","d",0,"Sm3",941749,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2007," ","d",0,"Sm3",155808,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2008," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2009," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2010," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2011," ","d",5220776,"Sm3",174121,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2012," ","d",13,"Sm3",10484,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2013,20.1,"d",0,"Sm3",33726,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2014," ","d",0,"Sm3",9665,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2015," ","d",0,"Sm3",2146,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-13","VARG","3295",2016," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",1998," ","d"," ","Sm3",22151,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",1999," ","d",122100000,"Sm3",309795,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2000,210.53,"d",97385202,"Sm3",285716,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2001,131.36,"d",59242666,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2002,194.53,"d",162053800,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2003,106.36,"d",114866739,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2004,169.69,"d",107661814,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2005,334.22,"d",242100376,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2006,350.81,"d",238189522,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2007,355.71,"d",178534500,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2008,354.73,"d",216641225,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2009,344.21,"d",370224381,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2010,345.04,"d",239505515,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2011,272.8,"d",160341510,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2012,161.1,"d",136341291,"Sm3",120022,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2013,314.7,"d",96620350,"Sm3",626006,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2014,101.3,"d",103557284,"Sm3",161967,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2015,122.1,"d",117628763,"Sm3",146741,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-14","VARG","3292",2016,13.2,"d",3899029,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-15 A","VARG","4644",2014,26.1,"d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-15 A","VARG","4644",2015,10.3,"d",1599126,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-15 A","VARG","4644",2016," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2005,190.95,"d",0,"Sm3",1321937,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2006,258.11,"d",0,"Sm3",1289361,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2007,316.49,"d",0,"Sm3",1885467,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2008,320.56,"d",0,"Sm3",1491606,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2009,264.93,"d",0,"Sm3",507442,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2010,219.87,"d",0,"Sm3",565229,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2011,149.6,"d",0,"Sm3",12030,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2012,58.8,"d",0,"Sm3",42579,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2013,23.9,"d",0,"Sm3",49300,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2014,47.8,"d",0,"Sm3",182728,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2015,55.8,"d",0,"Sm3",124368,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-16","VARG","5073",2016," ","d",0,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6","VARG","3293",1999," ","d",133314000,"Sm3",500,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6","VARG","3293",2000,252.28,"d",195881447,"Sm3",81116,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6","VARG","3293",2001,270.75,"d",174494994,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6","VARG","3293",2002,155.36,"d",137600856,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6","VARG","3293",2003,248.39,"d",150523778,"Sm3",0,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2006," ","d",0,"Sm3",499075,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2007," ","d",0,"Sm3",595381,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2008," ","d",0,"Sm3",755577,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2009," ","d",0,"Sm3",810065,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2010," ","d",0,"Sm3",630878,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2011," ","d",0,"Sm3",23832,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2012," ","d",0,"Sm3",21509,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2013,267.2,"d",26114786,"Sm3",387547,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2014,178.6,"d",0,"Sm3",531776,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2015,152.5,"d",0,"Sm3",614784,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-6 A","VARG","4870",2016,51.3,"d",0,"Sm3",164107,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-7 C","VARG","6340",2010,177.3,"d",0,"Sm3",525361,"Sm3"," ","Sm3"," ","Sm3"
"15/12-A-7 C","VARG","6340",2011,205.3,"d",21901217,"Sm3",29193,"Sm3"," ","Sm3"," ","Sm3"
