Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
190.0,1.0,0.41666,2.4,1078.8,1318.8,7.764,2.2427,2.7626,543.69,0.15223,0.01593,0.061173,vapor
190.0,11.0,4.5892,0.2179,1074.9,1314.6,6.5129,2.2454,2.7821,544.61,0.14897,0.016031,0.061582,vapor
190.0,21.0,8.7706,0.11402,1071.0,1310.5,6.1695,2.2481,2.8016,545.7,0.14565,0.016139,0.062002,vapor
190.0,31.0,12.958,0.077172,1067.2,1306.4,5.9595,2.2507,2.821,546.97,0.14227,0.016252,0.062437,vapor
190.0,41.0,17.149,0.058314,1063.4,1302.5,5.8066,2.2532,2.8404,548.43,0.13884,0.016371,0.062888,vapor
190.0,51.0,21.339,0.046862,1059.6,1298.5,5.6855,2.2558,2.8597,550.07,0.13535,0.016495,0.063353,vapor
190.0,51.0,21.339,0.046862,1059.6,1298.5,5.6855,2.2558,2.8597,550.07,0.13535,0.016495,0.063353,supercritical
190.0,51.0,21.339,0.046862,1059.6,1298.5,5.6855,2.2558,2.8597,550.07,0.13535,0.016495,0.063353,supercritical
190.0,61.0,25.527,0.039174,1055.8,1294.7,5.5848,2.2582,2.8789,551.9,0.13181,0.016625,0.063834,supercritical
190.0,71.0,29.709,0.03366,1052.0,1291.0,5.4984,2.2606,2.8978,553.91,0.12823,0.01676,0.06433,supercritical
190.0,81.0,33.882,0.029514,1048.2,1287.3,5.4225,2.263,2.9166,556.11,0.12462,0.016901,0.064841,supercritical
190.0,91.0,38.043,0.026286,1044.5,1283.7,5.3546,2.2653,2.9351,558.5,0.12097,0.017046,0.065367,supercritical
190.0,101.0,42.188,0.023703,1040.8,1280.2,5.2932,2.2676,2.9532,561.08,0.1173,0.017197,0.065908,supercritical
190.0,111.0,46.316,0.021591,1037.1,1276.8,5.2369,2.2699,2.9711,563.84,0.1136,0.017352,0.066463,supercritical
190.0,121.0,50.422,0.019833,1033.5,1273.4,5.1851,2.272,2.9885,566.79,0.1099,0.017512,0.067031,supercritical
190.0,131.0,54.504,0.018347,1029.8,1270.2,5.1369,2.2742,3.0055,569.92,0.1062,0.017676,0.067612,supercritical
190.0,141.0,58.558,0.017077,1026.3,1267.0,5.0919,2.2763,3.0221,573.23,0.1025,0.017844,0.068206,supercritical
190.0,151.0,62.584,0.015979,1022.7,1264.0,5.0497,2.2783,3.0382,576.72,0.098805,0.018017,0.068811,supercritical
190.0,161.0,66.576,0.01502,1019.2,1261.0,5.0099,2.2803,3.0538,580.37,0.095132,0.018193,0.069427,supercritical
190.0,171.0,70.534,0.014177,1015.8,1258.2,4.9722,2.2823,3.0689,584.2,0.091485,0.018373,0.070054,supercritical
190.0,181.0,74.455,0.013431,1012.3,1255.4,4.9365,2.2842,3.0834,588.19,0.087869,0.018557,0.070689,supercritical
190.0,191.0,78.337,0.012765,1009.0,1252.8,4.9024,2.2861,3.0974,592.34,0.084291,0.018743,0.071333,supercritical
190.0,201.0,82.178,0.012169,1005.6,1250.2,4.87,2.288,3.1108,596.64,0.080757,0.018933,0.071984,supercritical
190.0,211.0,85.975,0.011631,1002.3,1247.7,4.839,2.2898,3.1236,601.08,0.077272,0.019126,0.072642,supercritical
190.0,221.0,89.728,0.011145,999.08,1245.4,4.8093,2.2916,3.1359,605.67,0.073841,0.019321,0.073306,supercritical
190.0,231.0,93.436,0.010703,995.89,1243.1,4.7808,2.2934,3.1476,610.4,0.070468,0.019519,0.073974,supercritical
190.0,241.0,97.095,0.010299,992.74,1240.9,4.7535,2.2951,3.1588,615.25,0.067157,0.019719,0.074647,supercritical
