Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
-5.0,1.0,1.988,0.50302,430.46,480.76,2.6507,0.62682,0.82195,255.91,1.4408,0.013466,0.014373,vapor
-5.0,11.0,23.674,0.04224,421.55,468.02,2.1639,0.67176,0.94978,244.68,1.4537,0.013548,0.015121,vapor
-5.0,21.0,50.038,0.019985,410.71,452.68,1.9993,0.73467,1.1696,231.31,1.4745,0.013726,0.016356,vapor
-5.0,30.459,83.359,0.011996,396.84,433.38,1.8725,0.84026,1.6628,214.68,1.4987,0.014081,0.018803,vapor
-5.0,30.459,956.21,0.0010458,184.86,188.05,0.95756,0.93711,2.4085,582.19,0.031682,0.10934,0.11508,liquid
-5.0,31.0,956.62,0.0010453,184.76,188.0,0.95719,0.93688,2.4049,583.2,0.031453,0.10948,0.11517,liquid
-5.0,41.0,963.86,0.0010375,183.05,187.31,0.9507,0.93356,2.3444,600.62,0.027564,0.11184,0.1168,liquid
-5.0,51.0,970.58,0.0010303,181.45,186.71,0.94461,0.93153,2.2935,616.18,0.02421,0.11409,0.11836,liquid
-5.0,61.0,976.86,0.0010237,179.95,186.19,0.93886,0.93031,2.2497,630.39,0.021264,0.11625,0.11984,liquid
-5.0,71.0,982.77,0.0010175,178.52,185.75,0.93339,0.92959,2.2115,643.56,0.018641,0.11834,0.12125,liquid
-5.0,81.0,988.36,0.0010118,177.17,185.36,0.92818,0.92921,2.1777,655.91,0.016281,0.12035,0.12262,liquid
-5.0,91.0,993.67,0.0010064,175.88,185.03,0.92319,0.92907,2.1475,667.59,0.014141,0.12231,0.12394,liquid
-5.0,101.0,998.74,0.0010013,174.64,184.75,0.9184,0.92909,2.1204,678.7,0.012186,0.12422,0.12521,liquid
-5.0,111.0,1003.6,0.00099642,173.46,184.52,0.91379,0.92922,2.0958,689.33,0.010389,0.12608,0.12645,liquid
-5.0,121.0,1008.2,0.00099183,172.32,184.32,0.90934,0.92944,2.0734,699.53,0.0087312,0.1279,0.12766,liquid
-5.0,131.0,1012.7,0.00098745,171.22,184.15,0.90504,0.92972,2.0528,709.36,0.0071934,0.12969,0.12883,liquid
-5.0,141.0,1017.0,0.00098326,170.16,184.02,0.90087,0.93005,2.0339,718.86,0.005762,0.13144,0.12997,liquid
-5.0,151.0,1021.2,0.00097926,169.13,183.92,0.89683,0.93041,2.0163,728.05,0.0044251,0.13316,0.13109,liquid
-5.0,161.0,1025.2,0.00097542,168.14,183.84,0.8929,0.9308,2.0001,736.98,0.0031726,0.13485,0.13218,liquid
-5.0,171.0,1029.1,0.00097172,167.17,183.79,0.88908,0.93122,1.9849,745.65,0.001996,0.13652,0.13325,liquid
-5.0,181.0,1032.9,0.00096817,166.24,183.76,0.88535,0.93164,1.9707,754.1,0.00088794,0.13816,0.1343,liquid
-5.0,191.0,1036.5,0.00096475,165.33,183.75,0.88172,0.93208,1.9575,762.33,-0.00015794,0.13977,0.13532,liquid
-5.0,201.0,1040.1,0.00096144,164.44,183.77,0.87818,0.93253,1.945,770.37,-0.0011472,0.14137,0.13633,liquid
-5.0,211.0,1043.6,0.00095825,163.58,183.8,0.87472,0.93299,1.9332,778.22,-0.0020846,0.14295,0.13732,liquid
-5.0,221.0,1046.9,0.00095516,162.74,183.85,0.87133,0.93345,1.9221,785.91,-0.0029746,0.14451,0.1383,liquid
-5.0,231.0,1050.2,0.00095216,161.92,183.91,0.86802,0.93392,1.9116,793.43,-0.0038208,0.14605,0.13926,liquid
-5.0,241.0,1053.5,0.00094926,161.12,183.99,0.86477,0.93439,1.9017,800.81,-0.0046267,0.14757,0.1402,liquid
-5.0,251.0,1056.6,0.00094644,160.33,184.09,0.86159,0.93486,1.8923,808.04,-0.0053952,0.14908,0.14113,liquid
-5.0,261.0,1059.7,0.0009437,159.57,184.2,0.85847,0.93533,1.8833,815.13,-0.0061292,0.15057,0.14204,liquid
-5.0,271.0,1062.7,0.00094104,158.82,184.32,0.85541,0.9358,1.8748,822.1,-0.0068309,0.15205,0.14295,liquid
-5.0,281.0,1065.6,0.00093845,158.08,184.45,0.85241,0.93628,1.8666,828.94,-0.0075026,0.15352,0.14384,liquid
-5.0,291.0,1068.5,0.00093593,157.36,184.6,0.84946,0.93675,1.8588,835.67,-0.0081464,0.15498,0.14472,liquid
-5.0,301.0,1071.3,0.00093347,156.66,184.76,0.84656,0.93722,1.8514,842.29,-0.0087639,0.15642,0.14558,liquid
-5.0,311.0,1074.0,0.00093108,155.97,184.92,0.84371,0.9377,1.8443,848.81,-0.0093569,0.15785,0.14644,liquid
-5.0,321.0,1076.7,0.00092874,155.29,185.1,0.8409,0.93817,1.8375,855.22,-0.0099269,0.15927,0.14729,liquid
-5.0,331.0,1079.4,0.00092646,154.62,185.29,0.83814,0.93864,1.831,861.54,-0.010475,0.16068,0.14812,liquid
-5.0,341.0,1082.0,0.00092423,153.97,185.48,0.83542,0.93911,1.8247,867.76,-0.011003,0.16208,0.14895,liquid
-5.0,351.0,1084.5,0.00092205,153.33,185.69,0.83274,0.93959,1.8187,873.89,-0.011512,0.16347,0.14977,liquid
-5.0,361.0,1087.1,0.00091992,152.69,185.9,0.8301,0.94006,1.8129,879.94,-0.012002,0.16485,0.15058,liquid
-5.0,371.0,1089.5,0.00091783,152.07,186.12,0.8275,0.94053,1.8073,885.91,-0.012476,0.16622,0.15138,liquid
-5.0,381.0,1092.0,0.00091579,151.46,186.35,0.82494,0.941,1.8019,891.79,-0.012933,0.16758,0.15217,liquid
-5.0,391.0,1094.3,0.00091379,150.86,186.59,0.82241,0.94147,1.7967,897.6,-0.013374,0.16894,0.15296,liquid
-5.0,401.0,1096.7,0.00091183,150.27,186.83,0.81992,0.94193,1.7917,903.33,-0.013801,0.17028,0.15373,liquid
-5.0,411.0,1099.0,0.00090992,149.69,187.08,0.81745,0.9424,1.7869,908.99,-0.014215,0.17162,0.1545,liquid
-5.0,421.0,1101.3,0.00090803,149.11,187.34,0.81502,0.94287,1.7822,914.59,-0.014615,0.17296,0.15527,liquid
-5.0,431.0,1103.5,0.00090619,148.55,187.61,0.81262,0.94334,1.7777,920.11,-0.015002,0.17428,0.15602,liquid
-5.0,441.0,1105.7,0.00090438,147.99,187.88,0.81025,0.9438,1.7733,925.57,-0.015378,0.1756,0.15677,liquid
-5.0,451.0,1107.9,0.0009026,147.44,188.15,0.80791,0.94427,1.7691,930.96,-0.015742,0.17691,0.15751,liquid
-5.0,461.0,1110.1,0.00090086,146.9,188.43,0.8056,0.94473,1.765,936.3,-0.016095,0.17822,0.15825,liquid
