Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase,Curve
255.0,1.0,1.0028,0.99724,624.37,724.09,3.2769,0.84393,1.0337,349.4,0.27529,0.025068,0.035167,vapor,"vapor, T = 255 C"
255.0,11.0,11.092,0.090152,622.08,721.25,2.8195,0.84639,1.045,348.85,0.27178,0.0252,0.035542,vapor,"vapor, T = 255 C"
255.0,21.0,21.292,0.046966,619.78,718.41,2.693,0.84885,1.0565,348.41,0.26818,0.025339,0.035917,vapor,"vapor, T = 255 C"
255.0,31.0,31.597,0.031648,617.47,715.58,2.6151,0.85131,1.0682,348.08,0.26449,0.025486,0.036294,vapor,"vapor, T = 255 C"
255.0,41.0,42.004,0.023807,615.15,712.76,2.558,0.85376,1.0802,347.86,0.26069,0.025642,0.036675,vapor,"vapor, T = 255 C"
255.0,51.0,52.508,0.019045,612.82,709.95,2.5124,0.85621,1.0924,347.75,0.25678,0.025808,0.037062,vapor,"vapor, T = 255 C"
255.0,61.0,63.103,0.015847,610.49,707.15,2.4743,0.85864,1.1048,347.76,0.25275,0.025983,0.037455,vapor,"vapor, T = 255 C"
255.0,71.0,73.785,0.013553,608.14,704.37,2.4413,0.86105,1.1174,347.89,0.2486,0.026169,0.037858,vapor,"vapor, T = 255 C"
255.0,81.0,84.547,0.011828,605.79,701.6,2.4121,0.86344,1.1302,348.14,0.24433,0.026365,0.038271,vapor,"vapor, T = 255 C"
255.0,81.0,84.547,0.011828,605.79,701.6,2.4121,0.86344,1.1302,348.14,0.24433,0.026365,0.038271,supercritical,"liquid, T = 255 C"
255.0,81.0,84.547,0.011828,605.79,701.6,2.4121,0.86344,1.1302,348.14,0.24433,0.026365,0.038271,supercritical,"liquid, T = 255 C"
255.0,91.0,95.382,0.010484,603.44,698.85,2.3858,0.8658,1.143,348.51,0.23992,0.026573,0.038695,supercritical,"liquid, T = 255 C"
255.0,101.0,106.28,0.0094088,601.08,696.11,2.3618,0.86812,1.156,349.02,0.23539,0.026792,0.039131,supercritical,"liquid, T = 255 C"
255.0,111.0,117.24,0.0085293,598.73,693.4,2.3397,0.87042,1.169,349.65,0.23074,0.027023,0.039581,supercritical,"liquid, T = 255 C"
255.0,121.0,128.25,0.0077972,596.37,690.72,2.3192,0.87267,1.1821,350.42,0.22596,0.027267,0.040046,supercritical,"liquid, T = 255 C"
255.0,131.0,139.3,0.0071787,594.02,688.06,2.3,0.87488,1.1951,351.34,0.22107,0.027524,0.040525,supercritical,"liquid, T = 255 C"
255.0,141.0,150.38,0.0066498,591.67,685.44,2.282,0.87705,1.2081,352.4,0.21607,0.027793,0.041021,supercritical,"liquid, T = 255 C"
255.0,151.0,161.48,0.0061927,589.33,682.84,2.2649,0.87917,1.221,353.61,0.21098,0.028076,0.041532,supercritical,"liquid, T = 255 C"
255.0,161.0,172.59,0.0057941,587.0,680.29,2.2487,0.88124,1.2337,354.97,0.2058,0.028373,0.04206,supercritical,"liquid, T = 255 C"
