Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
75.0,1.0,1.5249,0.65579,483.99,549.57,2.8748,0.70573,0.89737,288.34,0.74248,0.017274,0.020544,vapor
75.0,11.0,17.295,0.057822,479.15,542.75,2.4078,0.71876,0.94049,283.61,0.74155,0.017417,0.021076,vapor
75.0,21.0,34.108,0.029318,474.04,535.61,2.2708,0.73256,0.99059,278.87,0.73928,0.017595,0.021697,vapor
75.0,31.0,52.13,0.019183,468.63,528.09,2.1815,0.74721,1.0494,274.14,0.73534,0.017818,0.022427,vapor
75.0,41.0,71.561,0.013974,462.86,520.16,2.1117,0.76277,1.1193,269.42,0.72928,0.018095,0.023296,vapor
75.0,51.0,92.656,0.010793,456.7,511.75,2.0523,0.77933,1.2034,264.78,0.72052,0.01844,0.024341,vapor
75.0,61.0,115.73,0.0086406,450.08,502.79,1.9989,0.79695,1.306,260.26,0.70834,0.018875,0.025614,vapor
75.0,71.0,141.19,0.0070827,442.93,493.22,1.9489,0.81568,1.4326,255.99,0.69184,0.019425,0.027184,vapor
75.0,81.0,169.52,0.005899,435.16,482.94,1.9008,0.83551,1.5908,252.11,0.66996,0.020129,0.029137,vapor
75.0,81.0,169.52,0.005899,435.16,482.94,1.9008,0.83551,1.5908,252.11,0.66996,0.020129,0.029137,supercritical
75.0,81.0,169.52,0.005899,435.16,482.94,1.9008,0.83551,1.5908,252.11,0.66996,0.020129,0.029137,supercritical
75.0,91.0,201.32,0.0049673,426.67,471.88,1.8535,0.85627,1.7895,248.87,0.64151,0.021038,0.031577,supercritical
75.0,101.0,237.22,0.0042155,417.39,459.97,1.8061,0.87749,2.0369,246.64,0.60528,0.022226,0.0346,supercritical
75.0,111.0,277.76,0.0036002,407.29,447.25,1.7584,0.89819,2.3336,245.99,0.56037,0.023784,0.038247,supercritical
75.0,121.0,322.94,0.0030965,396.47,433.93,1.7106,0.91653,2.6565,247.72,0.50694,0.025806,0.042411,supercritical
75.0,131.0,371.57,0.0026913,385.29,420.55,1.6638,0.93011,2.9451,252.78,0.44742,0.028342,0.046778,supercritical
75.0,141.0,420.96,0.0023755,374.36,407.85,1.6201,0.93737,3.1246,261.78,0.38668,0.031325,0.050949,supercritical
75.0,151.0,467.83,0.0021375,364.29,396.57,1.5812,0.93897,3.1637,274.55,0.32999,0.034564,0.054673,supercritical
75.0,161.0,509.86,0.0019613,355.43,387.01,1.5479,0.937,3.0948,290.01,0.28084,0.037833,0.057939,supercritical
75.0,171.0,546.38,0.0018302,347.82,379.11,1.5198,0.93336,2.9754,306.9,0.24022,0.040972,0.060852,supercritical
75.0,181.0,577.79,0.0017307,341.29,372.62,1.496,0.92925,2.8448,324.28,0.20723,0.043913,0.063499,supercritical
75.0,191.0,604.88,0.0016532,335.66,367.23,1.4757,0.92525,2.721,341.56,0.18044,0.046641,0.065931,supercritical
75.0,201.0,628.45,0.0015912,330.74,362.72,1.4581,0.92162,2.6106,358.39,0.15854,0.049168,0.068185,supercritical
75.0,211.0,649.19,0.0015404,326.4,358.9,1.4426,0.91844,2.5147,374.61,0.14045,0.051517,0.070289,supercritical
75.0,221.0,667.63,0.0014978,322.52,355.62,1.4288,0.91573,2.4319,390.18,0.1253,0.053712,0.072262,supercritical
75.0,231.0,684.2,0.0014616,319.01,352.78,1.4164,0.91345,2.3601,405.1,0.11246,0.055772,0.074121,supercritical
75.0,241.0,699.22,0.0014302,315.82,350.29,1.4051,0.91153,2.2975,419.41,0.10143,0.057717,0.07588,supercritical
75.0,251.0,712.93,0.0014027,312.89,348.1,1.3948,0.90994,2.2425,433.15,0.091862,0.05956,0.07755,supercritical
75.0,261.0,725.55,0.0013783,310.18,346.15,1.3852,0.90861,2.194,446.35,0.083482,0.061315,0.079143,supercritical
75.0,271.0,737.22,0.0013564,307.66,344.42,1.3763,0.90752,2.1508,459.05,0.076084,0.062992,0.080665,supercritical
75.0,281.0,748.08,0.0013368,305.31,342.87,1.368,0.90662,2.1123,471.29,0.069509,0.0646,0.082126,supercritical
75.0,291.0,758.23,0.0013189,303.1,341.48,1.3601,0.90589,2.0778,483.1,0.063627,0.066146,0.083531,supercritical
75.0,301.0,767.76,0.0013025,301.02,340.22,1.3528,0.9053,2.0467,494.51,0.058337,0.067638,0.084885,supercritical
75.0,311.0,776.74,0.0012874,299.05,339.09,1.3458,0.90483,2.0185,505.54,0.053552,0.06908,0.086194,supercritical
75.0,321.0,785.24,0.0012735,297.18,338.06,1.3392,0.90447,1.9929,516.23,0.049206,0.070477,0.087461,supercritical
75.0,331.0,793.29,0.0012606,295.4,337.12,1.3328,0.90419,1.9695,526.59,0.04524,0.071834,0.088691,supercritical
75.0,341.0,800.96,0.0012485,293.7,336.27,1.3268,0.90399,1.948,536.66,0.041606,0.073155,0.089885,supercritical
75.0,351.0,808.27,0.0012372,292.07,335.5,1.321,0.90386,1.9283,546.43,0.038264,0.074442,0.091048,supercritical
75.0,361.0,815.26,0.0012266,290.51,334.79,1.3154,0.90378,1.9102,555.95,0.035181,0.075698,0.092182,supercritical
75.0,371.0,821.96,0.0012166,289.02,334.15,1.3101,0.90376,1.8933,565.22,0.032326,0.076925,0.093288,supercritical
