Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
-5.0,1.0,0.090361,11.067,2397.8,3504.5,51.92,10.043,14.17,1250.0,-0.023553,0.0082706,0.17091,vapor
-5.0,11.0,0.98782,1.0123,2394.3,3507.9,42.017,10.053,14.206,1258.7,-0.024188,0.0082791,0.17229,vapor
-5.0,21.0,1.8742,0.53357,2390.9,3511.4,39.337,10.062,14.24,1267.6,-0.024876,0.0082894,0.17353,vapor
-5.0,21.0,1.8742,0.53357,2390.9,3511.4,39.337,10.062,14.24,1267.6,-0.024876,0.0082894,0.17353,supercritical
-5.0,21.0,1.8742,0.53357,2390.9,3511.4,39.337,10.062,14.24,1267.6,-0.024876,0.0082894,0.17353,supercritical
-5.0,31.0,2.7494,0.36371,2387.5,3515.0,37.718,10.071,14.273,1276.5,-0.025604,0.0083014,0.17465,supercritical
-5.0,41.0,3.6138,0.27672,2384.1,3518.7,36.553,10.08,14.305,1285.4,-0.026358,0.0083149,0.17567,supercritical
-5.0,51.0,4.4672,0.22385,2380.8,3522.5,35.641,10.089,14.335,1294.4,-0.027129,0.00833,0.17661,supercritical
-5.0,61.0,5.3098,0.18833,2377.6,3526.5,34.891,10.098,14.365,1303.5,-0.027908,0.0083465,0.17749,supercritical
-5.0,71.0,6.1417,0.16282,2374.5,3530.5,34.254,10.108,14.394,1312.6,-0.028687,0.0083645,0.17831,supercritical
-5.0,81.0,6.9629,0.14362,2371.4,3534.7,33.7,10.117,14.421,1321.8,-0.029461,0.0083838,0.1791,supercritical
-5.0,91.0,7.7735,0.12864,2368.4,3539.0,33.209,10.126,14.447,1331.0,-0.030226,0.0084044,0.17986,supercritical
-5.0,101.0,8.5736,0.11664,2365.4,3543.4,32.769,10.135,14.472,1340.3,-0.030978,0.0084262,0.1806,supercritical
-5.0,111.0,9.3634,0.1068,2362.5,3548.0,32.37,10.144,14.496,1349.6,-0.031714,0.0084492,0.18132,supercritical
-5.0,121.0,10.143,0.098592,2359.7,3552.6,32.005,10.153,14.52,1359.0,-0.032433,0.0084733,0.18205,supercritical
-5.0,131.0,10.912,0.091641,2356.9,3557.4,31.668,10.162,14.542,1368.3,-0.033132,0.0084985,0.18277,supercritical
-5.0,141.0,11.671,0.085679,2354.2,3562.3,31.356,10.171,14.563,1377.7,-0.03381,0.0085248,0.1835,supercritical
-5.0,151.0,12.421,0.08051,2351.6,3567.3,31.065,10.18,14.583,1387.2,-0.034467,0.008552,0.18423,supercritical
-5.0,161.0,13.16,0.075985,2349.0,3572.3,30.792,10.189,14.602,1396.6,-0.035103,0.0085802,0.18498,supercritical
-5.0,171.0,13.89,0.071992,2346.4,3577.5,30.536,10.197,14.621,1406.1,-0.035717,0.0086092,0.18574,supercritical
-5.0,181.0,14.611,0.068442,2344.0,3582.8,30.294,10.206,14.639,1415.6,-0.03631,0.0086391,0.18651,supercritical
-5.0,191.0,15.322,0.065266,2341.6,3588.1,30.064,10.215,14.656,1425.1,-0.036881,0.0086698,0.1873,supercritical
-5.0,201.0,16.024,0.062407,2339.2,3593.6,29.847,10.224,14.672,1434.6,-0.037432,0.0087013,0.1881,supercritical
-5.0,211.0,16.717,0.059821,2336.9,3599.1,29.64,10.233,14.688,1444.1,-0.037962,0.0087336,0.18892,supercritical
-5.0,221.0,17.4,0.05747,2334.6,3604.7,29.442,10.241,14.703,1453.6,-0.038473,0.0087665,0.18976,supercritical
-5.0,231.0,18.075,0.055324,2332.5,3610.4,29.253,10.25,14.717,1463.1,-0.038965,0.0088001,0.19062,supercritical
-5.0,241.0,18.742,0.053356,2330.3,3616.2,29.072,10.259,14.731,1472.6,-0.039438,0.0088344,0.19149,supercritical
-5.0,251.0,19.4,0.051547,2328.2,3622.0,28.898,10.267,14.744,1482.1,-0.039893,0.0088692,0.19238,supercritical
-5.0,261.0,20.049,0.049877,2326.2,3628.0,28.731,10.276,14.757,1491.6,-0.040331,0.0089046,0.19328,supercritical
-5.0,271.0,20.691,0.048331,2324.2,3633.9,28.57,10.284,14.769,1501.1,-0.040753,0.0089406,0.1942,supercritical
-5.0,281.0,21.324,0.046895,2322.2,3640.0,28.415,10.293,14.781,1510.6,-0.041158,0.0089771,0.19514,supercritical
-5.0,291.0,21.949,0.045559,2320.3,3646.1,28.266,10.301,14.792,1520.1,-0.041549,0.0090141,0.19609,supercritical
-5.0,301.0,22.567,0.044312,2318.5,3652.3,28.121,10.31,14.803,1529.5,-0.041925,0.0090515,0.19705,supercritical
-5.0,311.0,23.177,0.043146,2316.7,3658.5,27.981,10.318,14.813,1538.9,-0.042288,0.0090894,0.19802,supercritical
-5.0,321.0,23.779,0.042053,2314.9,3664.8,27.846,10.326,14.823,1548.3,-0.042637,0.0091277,0.199,supercritical
-5.0,331.0,24.375,0.041026,2313.2,3671.2,27.715,10.335,14.833,1557.7,-0.042973,0.0091664,0.2,supercritical
-5.0,341.0,24.962,0.04006,2311.5,3677.6,27.588,10.343,14.842,1567.1,-0.043297,0.0092055,0.201,supercritical
