Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
200.0,1.0,0.051221,19.523,4508.2,6460.5,60.1,10.381,14.506,1652.0,-0.049166,0.012258,0.26058,vapor
200.0,11.0,0.56112,1.7822,4507.2,6467.6,50.208,10.386,14.515,1659.0,-0.049235,0.012258,0.26155,vapor
200.0,21.0,1.0668,0.93736,4506.3,6474.8,47.539,10.392,14.524,1665.9,-0.049314,0.012259,0.26245,vapor
200.0,21.0,1.0668,0.93736,4506.3,6474.8,47.539,10.392,14.524,1665.9,-0.049314,0.012259,0.26245,supercritical
200.0,21.0,1.0668,0.93736,4506.3,6474.8,47.539,10.392,14.524,1665.9,-0.049314,0.012259,0.26245,supercritical
200.0,31.0,1.5684,0.63758,4505.4,6481.9,45.931,10.397,14.533,1672.8,-0.049401,0.01226,0.26327,supercritical
200.0,41.0,2.0659,0.48404,4504.6,6489.1,44.776,10.402,14.541,1679.7,-0.049495,0.012262,0.26403,supercritical
200.0,51.0,2.5594,0.39071,4503.7,6496.3,43.874,10.407,14.55,1686.6,-0.049595,0.012265,0.26474,supercritical
200.0,61.0,3.0489,0.32799,4502.9,6503.6,43.134,10.412,14.558,1693.5,-0.049699,0.012268,0.26539,supercritical
200.0,71.0,3.5345,0.28293,4502.0,6510.8,42.506,10.417,14.566,1700.4,-0.049807,0.012272,0.266,supercritical
200.0,81.0,4.0162,0.24899,4501.2,6518.1,41.961,10.422,14.574,1707.3,-0.049918,0.012277,0.26657,supercritical
200.0,91.0,4.494,0.22252,4500.4,6525.4,41.479,10.427,14.581,1714.1,-0.050031,0.012283,0.26711,supercritical
200.0,101.0,4.9681,0.20129,4499.7,6532.7,41.047,10.432,14.589,1721.0,-0.050145,0.012289,0.26761,supercritical
