field,year,prod.,inj.,oil prod.,gas prod.,oil/gas prod.,water prod.,water/gas prod.
ALBUSKJELL,1978,0.10699999999999998,0.0,0.0,0.10699999999999998,0.0,,
ALBUSKJELL,1979,4.586,0.0,0.0,4.586,0.0,,
ALBUSKJELL,1980,11.236,0.0,0.0,11.236,0.0,,
ALBUSKJELL,1981,16.565,0.0,0.0,16.565,0.0,,
ALBUSKJELL,1982,18.83,0.0,0.0,18.83,0.0,,
ALBUSKJELL,1983,19.0,0.0,0.0,19.0,0.0,,
ALBUSKJELL,1984,19.0,0.0,0.0,19.0,0.0,,
ALBUSKJELL,1985,19.0,0.0,0.0,19.0,0.0,,
ALBUSKJELL,1986,19.57,0.0,0.0,19.57,0.0,,
ALBUSKJELL,1987,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1988,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1989,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1990,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1991,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1992,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1993,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1994,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1995,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1996,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1997,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1998,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,1999,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2000,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2001,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2002,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2003,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2004,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2005,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2006,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2007,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2008,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2009,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2010,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2011,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2012,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2013,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2014,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2015,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2016,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2017,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2018,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2019,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2020,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2021,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2022,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2023,20.0,0.0,0.0,20.0,0.0,,
ALBUSKJELL,2024,20.0,0.0,0.0,20.0,0.0,,
ALVE,2009,0.9339999999999999,0.0,0.0,0.9339999999999999,0.0,,
ALVE,2010,1.381,0.0,0.381,1.0,0.0,,
ALVE,2011,2.0,0.0,1.0,1.0,0.0,,
ALVE,2012,2.0,0.0,1.0,1.0,0.0,,
ALVE,2013,2.0,0.0,1.0,1.0,0.0,,
ALVE,2014,2.0,0.0,1.0,1.0,0.0,,
ALVE,2015,2.0,0.0,1.0,1.0,0.0,,
ALVE,2016,2.463,0.0,1.0,1.463,0.0,,
ALVE,2017,3.0,0.0,1.0,2.0,0.0,,
ALVE,2018,3.0,0.0,1.0,2.0,0.0,,
ALVE,2019,3.0,0.0,1.0,2.0,0.0,,
ALVE,2020,3.0,0.0,1.0,2.0,0.0,,
ALVE,2021,3.0,0.0,1.0,2.0,0.0,,
ALVE,2022,3.29,0.0,1.0,2.29,0.0,,
ALVE,2023,4.0,0.0,1.0,3.0,0.0,,
ALVE,2024,4.0,0.0,1.0,3.0,0.0,,
ALVHEIM,2006,1.049,0.611,1.049,0.0,0.0,,
ALVHEIM,2007,4.668,2.0,4.668,0.0,0.0,,
ALVHEIM,2008,11.466999999999999,2.0,11.466999999999999,0.0,0.0,,
ALVHEIM,2009,16.0,2.0,16.0,0.0,0.0,,
ALVHEIM,2010,16.794,2.0,16.0,0.0,0.794,,
ALVHEIM,2011,22.087,2.0,20.087,0.0,2.0,,
ALVHEIM,2012,25.567,2.0,23.567,0.0,2.0,,
ALVHEIM,2013,27.0,2.0,25.0,0.0,2.0,,
ALVHEIM,2014,27.0,2.0,25.0,0.0,2.0,,
ALVHEIM,2015,28.849,2.0,26.849,0.0,2.0,,
ALVHEIM,2016,32.997,2.0,30.997,0.0,2.0,,
ALVHEIM,2017,33.816,2.0,31.816,0.0,2.0,,
ALVHEIM,2018,38.087,2.0,36.087,0.0,2.0,,
ALVHEIM,2019,40.0,2.0,38.0,0.0,2.0,,
ALVHEIM,2020,41.269,2.0,39.269,0.0,2.0,,
ALVHEIM,2021,46.203,2.0,44.203,0.0,2.0,,
ALVHEIM,2022,48.0,2.0,46.0,0.0,2.0,,
ALVHEIM,2023,48.0,2.0,46.0,0.0,2.0,,
ALVHEIM,2024,48.0,2.0,46.0,0.0,2.0,,
ATLA,2012,0.548,0.0,0.0,0.548,0.0,,
ATLA,2013,1.0,0.0,0.0,1.0,0.0,,
ATLA,2014,1.0,0.0,0.0,1.0,0.0,,
ATLA,2015,1.0,0.0,0.0,1.0,0.0,,
ATLA,2016,1.0,0.0,0.0,1.0,0.0,,
ATLA,2017,1.0,0.0,0.0,1.0,0.0,,
