,fldName,fldInplaceOil,fldInplaceAssLiquid,fldInplaceAssGas,fldInplaceFreeGas,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
0,ALBUSKJELL,56.0,40.0,0.0,56.0,31.12.2023,43437,18.07.2024
1,ALVE,5.0,6.0,2.0,17.0,31.12.2023,4444332,18.07.2024
2,ALVE NORD,17.0,5.0,4.0,14.0,31.12.2023,42002483,18.07.2024
3,ALVHEIM,124.0,1.0,12.0,20.0,31.12.2023,2845712,18.07.2024
4,ATLA,0.0,0.0,0.0,2.0,31.12.2023,21106284,18.07.2024
5,BALDER,280.0,0.0,15.0,0.0,31.12.2023,43562,18.07.2024
6,BAUGE,16.0,0.0,5.0,0.0,31.12.2023,29446221,18.07.2024
7,BERLING,0.0,3.0,0.0,15.0,31.12.2023,42002473,18.07.2024
8,BLANE,3.0,0.0,0.0,0.0,31.12.2023,3437650,18.07.2024
9,BRAGE,162.0,13.0,17.0,5.0,31.12.2023,43651,18.07.2024
10,BREIDABLIKK,101.0,0.0,2.0,0.0,31.12.2023,38702206,18.07.2024
11,BRYNHILD,6.0,0.0,0.0,0.0,31.12.2023,21123063,18.07.2024
12,BYRDING,8.0,0.0,1.0,1.0,31.12.2023,28975067,18.07.2024
13,BØYLA,15.0,0.0,1.0,0.0,31.12.2023,22492497,18.07.2024
14,COD,5.0,0.0,11.0,0.0,31.12.2023,43785,18.07.2024
15,DRAUGEN,228.0,0.0,13.0,2.0,31.12.2023,43758,18.07.2024
16,DUVA,11.0,0.0,1.0,5.0,31.12.2023,34833026,18.07.2024
17,DVALIN,0.0,1.0,0.0,47.0,31.12.2023,29393934,18.07.2024
18,EDDA,16.0,0.0,5.0,0.0,31.12.2023,43541,18.07.2024
19,EDVARD GRIEG,98.0,0.0,12.0,0.0,31.12.2023,21675433,18.07.2024
20,EIRIN,0.0,1.0,0.0,9.0,31.12.2023,42002492,18.07.2024
21,EKOFISK,1069.0,0.0,286.0,0.0,31.12.2023,43506,18.07.2024
22,ELDFISK,450.0,0.0,119.0,0.0,31.12.2023,43527,18.07.2024
23,EMBLA,49.0,0.0,17.0,0.0,31.12.2023,43534,18.07.2024
24,ENOCH,2.0,0.0,0.0,0.0,31.12.2023,3437659,18.07.2024
25,FENJA,16.0,0.0,3.0,1.0,31.12.2023,31164879,18.07.2024
26,FENRIS,0.0,24.0,0.0,33.0,31.12.2023,42002478,18.07.2024
27,FLYNDRE,1.0,0.0,2.0,0.0,31.12.2023,24635035,18.07.2024
28,FRAM,101.0,3.0,15.0,18.0,31.12.2023,1578840,18.07.2024
29,FRAM H-NORD,5.0,0.0,1.0,0.0,31.12.2023,23410947,18.07.2024
30,FRIGG,97.0,1.0,5.0,150.0,31.12.2023,43555,18.07.2024
31,FRØY,28.0,0.0,6.0,0.0,31.12.2023,43597,18.07.2024
32,FULLA,0.0,6.0,0.0,18.0,31.12.2023,42002479,18.07.2024
33,GAUPE,11.0,1.0,2.0,3.0,31.12.2023,18161341,18.07.2024
34,GIMLE,23.0,4.0,7.0,5.0,31.12.2023,4005142,18.07.2024
35,GINA KROG,24.0,12.0,5.0,21.0,31.12.2023,23384544,18.07.2024
36,GJØA,51.0,13.0,9.0,52.0,31.12.2023,4467574,18.07.2024
37,GLITNE,20.0,0.0,0.0,1.0,31.12.2023,1272071,18.07.2024
38,GOLIAT,91.0,0.0,11.0,9.0,31.12.2023,5774394,18.07.2024
39,GRANE,224.0,0.0,3.0,0.0,31.12.2023,1035937,18.07.2024
40,GUDRUN,50.0,23.0,19.0,29.0,31.12.2023,18116481,18.07.2024
41,GULLFAKS,745.0,0.0,84.0,0.0,31.12.2023,43686,18.07.2024
42,GULLFAKS SØR,198.0,45.0,35.0,136.0,31.12.2023,43699,18.07.2024
43,GUNGNE,0.0,15.0,0.0,20.0,31.12.2023,43464,18.07.2024
44,GYDA,90.0,9.0,18.0,0.0,31.12.2023,43492,18.07.2024
45,HALTEN ØST,3.0,5.0,0.0,16.0,31.12.2023,42148955,18.07.2024
46,HANZ,5.0,0.0,1.0,0.0,31.12.2023,25307278,18.07.2024
47,HEIDRUN,436.0,8.0,37.0,52.0,31.12.2023,43771,18.07.2024
48,HEIMDAL,11.0,0.0,0.0,61.0,31.12.2023,43590,18.07.2024
49,HOD,64.0,0.0,9.0,0.0,31.12.2023,43485,18.07.2024
50,HUGIN,90.0,1.0,14.0,3.0,31.12.2023,42002474,18.07.2024
51,HULDRA,0.0,9.0,0.0,23.0,31.12.2023,97002,18.07.2024
52,HYME,6.0,0.0,1.0,0.0,31.12.2023,20474183,18.07.2024
53,IDUN NORD,1.0,0.0,0.0,4.0,31.12.2023,42002477,18.07.2024
54,IRPA,0.0,1.0,0.0,38.0,31.12.2023,42002482,18.07.2024
55,ISLAY,0.0,0.0,0.0,0.0,31.12.2023,21105675,18.07.2024
56,IVAR AASEN,46.0,1.0,7.0,3.0,31.12.2023,23384520,18.07.2024
57,JETTE,3.0,0.0,0.0,0.0,31.12.2023,21613906,18.07.2024
58,JOHAN CASTBERG,175.0,0.0,0.0,0.0,31.12.2023,32017325,18.07.2024
59,JOHAN SVERDRUP,588.0,0.0,24.0,0.0,31.12.2023,26376286,18.07.2024
60,JOTUN,44.0,0.0,2.0,0.0,31.12.2023,43604,18.07.2024
61,KNARR,32.0,0.0,4.0,0.0,31.12.2023,20460988,18.07.2024
62,KRISTIN,70.0,19.0,0.0,121.0,31.12.2023,1854729,18.07.2024
63,KVITEBJØRN,0.0,68.0,0.0,152.0,31.12.2023,1036101,18.07.2024
64,LILLE-FRIGG,0.0,5.0,0.0,7.0,31.12.2023,43583,18.07.2024
65,MARIA,47.0,0.0,6.0,0.0,31.12.2023,26465170,18.07.2024
66,MARTIN LINGE,27.0,9.0,1.0,29.0,31.12.2023,21675447,18.07.2024
67,MARULK,0.0,2.0,0.0,16.0,31.12.2023,18212090,18.07.2024
68,MIKKEL,13.0,19.0,4.0,43.0,31.12.2023,1630514,18.07.2024
69,MIME,7.0,0.0,2.0,0.0,31.12.2023,43792,18.07.2024
70,MORVIN,36.0,0.0,16.0,0.0,31.12.2023,4966234,18.07.2024
71,MUNIN,51.0,7.0,4.0,36.0,31.12.2023,42002476,18.07.2024
72,MURCHISON,27.0,0.0,3.0,0.0,31.12.2023,43665,18.07.2024
73,NJORD,132.0,5.0,35.0,14.0,31.12.2023,43751,18.07.2024
74,NORDØST FRIGG,0.0,0.0,0.0,35.0,31.12.2023,43568,18.07.2024
75,NORNE,157.0,2.0,18.0,12.0,31.12.2023,43778,18.07.2024
76,NOVA,30.0,0.0,7.0,4.0,31.12.2023,33197696,18.07.2024
77,ODA,9.0,0.0,1.0,0.0,31.12.2023,29412516,18.07.2024
78,ODIN,0.0,0.0,0.0,37.0,31.12.2023,43610,18.07.2024
79,ORMEN LANGE,1.0,37.0,0.0,398.0,31.12.2023,2762452,18.07.2024
80,OSEBERG,678.0,36.0,93.0,117.0,31.12.2023,43625,18.07.2024
81,OSEBERG SØR,247.0,1.0,38.0,23.0,31.12.2023,43645,18.07.2024
82,OSEBERG ØST,73.0,0.0,6.0,0.0,31.12.2023,43639,18.07.2024
83,OSELVAR,7.0,4.0,2.0,2.0,31.12.2023,5506919,18.07.2024
84,REV,0.0,2.0,0.0,4.0,31.12.2023,4467554,18.07.2024
85,RINGHORNE ØST,26.0,0.0,1.0,0.0,31.12.2023,3505505,18.07.2024
86,SIGYN,16.0,9.0,3.0,7.0,31.12.2023,1630100,18.07.2024
87,SKARV,61.0,0.0,8.0,101.0,31.12.2023,4704482,18.07.2024
88,SKIRNE,5.0,0.0,0.0,15.0,31.12.2023,2138816,18.07.2024
89,SKOGUL,3.0,0.0,0.0,0.0,31.12.2023,31164600,18.07.2024
90,SKULD,23.0,0.0,2.0,1.0,31.12.2023,21350124,18.07.2024
91,SLEIPNER VEST,0.0,80.0,0.0,187.0,31.12.2023,43457,18.07.2024
92,SLEIPNER ØST,0.0,77.0,0.0,91.0,31.12.2023,43478,18.07.2024
93,SNORRE,613.0,0.0,65.0,0.0,31.12.2023,43718,18.07.2024
94,SNØHVIT,0.0,43.0,11.0,366.0,31.12.2023,2053062,18.07.2024
95,SOLVEIG,40.0,0.0,6.0,2.0,31.12.2023,34833011,18.07.2024
96,STATFJORD,862.0,0.0,154.0,12.0,31.12.2023,43658,18.07.2024
97,STATFJORD NORD,73.0,0.0,5.0,0.0,31.12.2023,43679,18.07.2024
98,STATFJORD ØST,65.0,0.0,9.0,0.0,31.12.2023,43672,18.07.2024
99,SVALIN,16.0,0.0,1.0,0.0,31.12.2023,22507971,18.07.2024
100,SYGNA,21.0,0.0,1.0,0.0,31.12.2023,104718,18.07.2024
101,SYMRA,40.0,0.0,5.0,0.0,31.12.2023,42002480,18.07.2024
102,TAMBAR,41.0,0.0,10.0,0.0,31.12.2023,1028599,18.07.2024
103,TAMBAR ØST,8.0,0.0,1.0,0.0,31.12.2023,4999528,18.07.2024
104,TOMMELITEN A,0.0,43.0,0.0,26.0,31.12.2023,40867462,18.07.2024
105,TOMMELITEN GAMMA,12.0,0.0,15.0,0.0,31.12.2023,43444,18.07.2024
106,TOR,151.0,0.0,40.0,0.0,31.12.2023,43520,18.07.2024
107,TORDIS,123.0,0.0,14.0,0.0,31.12.2023,43725,18.07.2024
108,TRESTAKK,28.0,0.0,6.0,0.0,31.12.2023,29396445,18.07.2024
109,TROLL,664.0,86.0,38.0,1625.0,31.12.2023,46437,18.07.2024
110,TRYM,0.0,4.0,0.0,6.0,31.12.2023,18081500,18.07.2024
111,TUNE,2.0,11.0,0.0,22.0,31.12.2023,853376,18.07.2024
112,TYRIHANS,68.0,20.0,17.0,57.0,31.12.2023,3960848,18.07.2024
113,TYRVING,10.0,0.0,0.0,0.0,31.12.2023,42002471,18.07.2024
114,ULA,158.0,8.0,16.0,0.0,31.12.2023,43800,18.07.2024
115,URD,49.0,0.0,3.0,0.0,31.12.2023,2834734,18.07.2024
116,UTGARD,0.0,6.0,0.0,5.0,31.12.2023,28975098,18.07.2024
117,VALE,0.0,10.0,0.0,8.0,31.12.2023,1578893,18.07.2024
118,VALEMON,0.0,13.0,0.0,61.0,31.12.2023,20460969,18.07.2024
119,VALHALL,371.0,0.0,75.0,0.0,31.12.2023,43548,18.07.2024
120,VARG,43.0,0.0,5.0,0.0,31.12.2023,43451,18.07.2024
121,VEGA,4.0,33.0,2.0,48.0,31.12.2023,4467595,18.07.2024
122,VERDANDE,39.0,0.0,4.0,2.0,31.12.2023,42002481,18.07.2024
