lsuName,lsuLevel,lsuNameParent,lsuDescription,IsuFactPageUrl,lsuNpdidLithoStrat,lsuNpdidLithoStratParent
ADVENTDALEN GP,GROUP,,"Adventdalen Group

 Name 
The group is named after a major valley in central Spitsbergen. 
Type area 
The type area is Central Spitsbergen. 
Thickness 
Thickness on Svalbard: ca. 750-1600 m, known thickness on the Barents Sea Shelf: ca. 1000-1750 m. 
Lithology 
The Adventdalen Group comprises shales, siltstones and sandstones of Late Jurassic to Early Cretaceous age in Svalbard and throughout the Barents Sea Shelf. 
Distribution 
The group is widely exposed along the margins of the Central Tertiary Basin on Spitsbergen, as well as in eastern Spitsbergen (Sabine Land) and on Kong Karls Land. It continues across the Barents Sea Shelf to the Bjarmeland Platform, around the Loppa High and into the Hammerfest and Nordkapp basins. The Adventdalen Group was eroded down to varying levels during the late Cretaceous uplift. On the southem Barents Sea Shelf, this hiatus comprises only the Cenomanian and part of the Turonian, while the entire Upper Cretaceous is lacking on Svalbard. 
Age 
Late Jurassic - Early Cretaceous. 
Depositional environment 
The group is dominated by dark marine mudstones, but includes also deltaic and shelf sandstones as well as thin, condensed carbonate beds. Important hydrocarbon source rocks occur in the Upper Jurassic succession, both in Svalbard and in the Barents Sea (Agardhfjellet, Fuglen and Hekkingen formations). A Barremian sandstone unit, (Helvetiafjellet Formation) in Svalbard is the result of local uplift and deltaic progradation, while a coeval, condensed limestone interval in the Barents Sea ( Klippfisk Formation) grades into marls and calcareous mudstones in the basins. A hiatus occurs around the Jurassic - Cretaceous boundary. 
Subdivision 
Six formations are defined within the group on the Barents Sea Shelf: the Fuglen, Hekkingen, Klippfisk, Knurr, Kolje and Kolmule formations. 
Compiled from 
Dallmann, W. K. (ed.) 1999: Lithostratigraphic lexicon of Svalbard. Review and recommendations for nomenclature use. Upper Palaeozoic to Quaternary Bedrock. Norwegian Polar Institute, 318 pp. hans ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Groups&nav3=1,1,
AGAT FM,FORMATION,CROMER KNOLL GP,"Agat Formation 

Name 
Named after the gas-condensate Agat Discovery in Norwegian block 35/3. 
Well type section 
Norwegian well 35/3-4 from 3589 m to 3345 m, coordinates N 61°51'54.54"", E 03°52'26.99"" (Fig 5.19), 95 m of cores, mainly from the lower half of the formation. 
Well reference section 
Norwegian well 35/3-5 from 3620 m to 3219 m, coordinates N 61°47'46.71"",E 03°54'44.01"" (Fig 5.20). 65 m of cores from the upper part of the formation. 
Thickness 
In the type well the gross thickness of the formation is 244 m, and in the reference well 401 m. The gross thickness varies in that range in the wells in block 35/3. 
Lithology 
In the type well the formation consists of white to light grey, fine- to medium-grained, moderately to well-sorted sandstones alternating with grey claystones. The sandstones are usually micaceous and glauconitic and sometimes contain small amounts of pyrite. The sandstones in the type well are carbonate- and silica-cemented in zones. In the reference well, the upper part of the formation consists of medium- and coarse-grained to pebbly sandstones and conglomerates alternating with dark grey claystones. The conglomerates are both matrix- and grain-supported. The claystones are often found as 0.5-5 m thick layers between the sandstones. They are dark grey, usually calcareous and contain varying amounts of siltstone. They may occasionally pass into light grey, micaceous, calcareous and glauconitic siltstones. 
Basal stratotype 
The lower boundary is defined where sandstones become the dominant lithology and is placed at the base of the first marked coarsening-upwards sandstone unit or distinct sand body. On logs it shows as an upward reduction in gamma-ray response (Fig 5.19) and (Fig 5.20) and most often an increase in velocity (Fig 5.20). 
Characteristics of the upper boundary 
The upper boundary is placed at the top of the upper sandstone layer. This boundary is especially distinct on the gamma-ray log since the overlying sediments are dominated by calcareous shales with a low sandstone content. The overlying sediments are represented either by the Rødby Formation (well 35/3-1 and 35/3-2), or by the Svarte Formation (well 35/3-4 and 35/3-5),(Fig 5.19). (Fig 5.20). 
Distribution 
The formation is encountered in the area around the Måløy Fault Blocks in Norwegian blocks 35/3-36/1 (Fig 5.21) and is expected to be present along the western boundary of the Fennoscandian Shield. It is assumed to pass into shales towards the west (Fig 5.21). 
Age 
Aptian-Albian (possibly Early Cenomanian). 
Depositional environment 
Marine environment influenced by gravity flows of sediment. 
Source 
Isaksen, D. and Tonstad, K. (eds.) 1989: A revised Cretaceous and Tertiary lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 5, 59 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=2,2,23
AKKAR MBR,MEMBER,FRUHOLMEN FM,"Akkar Member

 Origin of name 
Norwegian for “squid”. 
Well type section 
Norwegian well 7121/5-1 coordinates 71° 35'54.88""N, 21° 24'21.78""E (Fig 4.46). 
Well reference section 
Norwegian well 7120/12-1 coordinates 71°6'48.71""N, 20° 45'20.13""E (Fig 4.47). 
Thickness 
The gross thickness of the member is 55 m in the type well, and 38 m in the reference well. 
Lithology 
Grey to dark grey shales, interbedded sandstones, coal. 
Lower boundary definition 
The base of the Akkar Member (and the Fruholmen Formation) is defined by a marked increase in gamma ray and neutron porosity logs, but often more moderate increases in interval transit time and bulk density readings. 
Age 
Norian (based on palynology). 
Depositional environment 
Open marine. 
Compiled from 
Dalland, A., Worsley, D. and Ofstad, K. (eds.) 1988: A lithostratigraphic scheme for the Mesozoic and Cenozoic succession offshore mid- and northern Norway. NPD-Bulletin No. 4, 65 pp. 
Dallmann, W. K. (ed.) 1999: Lithostratigraphic lexicon of Svalbard. Review and recommendations for nomenclature use. Upper Palaeozoic to Quaternary Bedrock. Norwegian Polar Institute, 318 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Members&nav3=3,3,46
ALGE MBR,MEMBER,HEKKINGEN FM,"Alge Member

 Name 
Norwegian for “alga”. 
Well type section 
Norwegian well 7119/12-1 coordinates N 71°6'08.00'' E 19°47'40.29''. 
Reference well section 
Norwegian well 7120/12-1 coordinates N 71°6'48.71'' E 20°45'20.13''. 
Thickness 
35 m in the type well and 50 m in the reference well. 
Lithology 
The Alge Member forms the lower high gamma intensity part of the Hekkingen Formation and consists of black paper shales rich in organic material. 
Lower boundary definition 
The base is defined by the transition from carbonate cemented and pyritic mudstones to poorly consolidated shales, producing a sudden increase in interval transit time and an abrupt decrease in bulk density values. 
Age 
Late Oxfordian – Kimmeridgian, based on ammonites and palynology. 
Depositional environment 
The member was deposited in restricted shelf environments. 
Compiled from 
Dalland, A., Worsley, D. and Ofstad, K. (eds.) 1988: A lithostratigraphic scheme for the Mesozoic and Cenozoic succession offshore mid- and northern Norway. NPD-Bulletin No. 4, 65 pp. 
Dallmann, W. K. (ed.) 1999: Lithostratigraphic lexicon of Svalbard. Review and recommendations for nomenclature use. Upper Palaeozoic to Quaternary Bedrock. Norwegian Polar Institute, 318 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Members&nav3=202,202,63
ALKE FM,FORMATION,HEGRE GP,Alke Formation,https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=211,211,61
AMUNDSEN FM,FORMATION,DUNLIN GP,"Amundsen Formation

 Name 
Named by Deegan & Scull (1977) who gave it ""sub-unit"" status. 
Well type section 
UK well 211/29-3 (Shell) from 2993m to 3051m, coord N 61°08'06"", E 01°43'36.5"" (Fig 3.10). 
Well reference sections 
Norwegian wells 33/9-1 (Mobil) from 2838 m to 2923m, coord N 61°15'07.5"", E 01°50'25.8"" (Fig 3.11), 31/2-1 (Shell) from 2272.5 m to 2292.5 m and from 2134 m to 2176 m, coord N 60°46'19,16"", E 03°33'15.87""(Fig 3.13). and 30/6-7 (Norsk Hydro) from 3023 m to 3151.5 m, coord N 60°38'39.49"", E 02°45'21.74"" (Fig 3.12). 
Thickness 
58 m in the type well, 85 m in well 33/9-1, 128.5 m in well 30/6-7 and 62 m in well 31/2-1, where the formation is split by the Johansen Formation, forming an upper (42 m) and a lower (20 m) unit. 
Lithology 
In the well type section the formation consists of light to dark grey, firm, non-calcareous siltstones and shales, in part carbonaceous and pyritic. Thin, fine to coarse grained, grey calcareous and glauconitic sandstone beds are present in the marginal areas of the basin. In the Norwegian sector the formation is more calcareous, especially in the lower part. 
Boundaries 
The base of the formation is the base of the Dunlin Group (defined above). The top is marked by the change to the more regular gamma ray and sonic log response of the overlying Burton Formation. Where the Burton Formation is missing (on the Horda Platform), the upper boundary is the base of the Cook Formation. 
Distribution 
The formation is widely distributed in the East Shetland Basin and Viking Graben north of 59°N. Towards the northwest the formation appears to overstep the Statfjord Formation and rests on the Hegre Group. 
Age 
Probably Hettangian to Sinemurian or Early Pliensbachian. 
Depositional environment 
The formation contains exclusively marine sediments, representing deposition on a shallow marine shelf. 
Source 

Vollset, J. and Doré, A. G. (eds.) 1984: A revised Triassic and Jurassic lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 3, 53 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=4,4,29
ANDREW FM,FORMATION,ROGALAND GP,"Andrew Formation

 Name 
Named by Deegan & Scull (1977) after the Andrew Field in UK blocks 18/27 and 16/28. 
Well type section 
UK well 14/25-1 from 2199 m to 1897 m, coordinates N58°01'11.40"", E 00°00'56.40"". No cores. 
Well reference section 
UK well 21/10-1 from 2464 to 2370 m, coordinates N 57°43'50.37"", E 00°58'29.19"" (Fig 5.44). No cores. 
Thickness 
The Andrew Formation is 302 m thick in the type well and 94 m in the reference well, which represents the general thinning southwards from the East Shetland Platform. Close to the Fladen Ground Spur, the formation reaches thicknesses of approximately 1200 m. 
Lithology 
The Andrew Formation consists of sandstones with claystone interbeds. The sandstones are generally very fine to medium grained and are composed of subangular to subrounded, clear to orange-stained quartz and feldspar grains. The sandstones are poorly sorted and often have a calcareous cement. Thin stringers of limestone occur. 
Basal stratotype 
The Andrew Formation overlies the shales, marls and limestone interbeds of the Våle Formation, reflected by a higher gamma-ray level in the Andrew Formation. It may also rest on the Maureen Formation, and in that case the boundary is still seen as an increase in gamma-ray readings upwards into the less calcareous Andrew Formation (Fig 5.44). 
Characteristics of the upper boundary 
The Lista Formation usually overlies the Andrew Formation, and the boundary is characterized by higher gamma-ray readings and lower velocity upwards into the Lista Formation. Where the Forties Formation directly overlies the Andrew Formation, the boundary may be difficult to define, but the Forties Formation generally has a lower velocity than the Andrew Formation (Fig 5.44). This boundary is very difficult to determine in the Norwegian sector. 
Distribution 
The Andrew Formation was deposited as an elongated lobe trending southeastwards from the western part of the Fladen Ground Spur into the Central Trough. The formation is not well developed in the Norwegian sector, even though the distal parts of the lobe may be expected to occur. Its approximate distribution is shown in (Fig 5.47). 
Age 
Paleocene. 
Depositional environment 
The Andrew Formation was deposited as submarine fans. 
Source 
Isaksen, D. and Tonstad, K. (eds.) 1989: A revised Cretaceous and Tertiary lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 5, 59 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=5,5,131
BALDER FM,FORMATION,ROGALAND GP,"Balder Formation

 Name 
Named by Deegan & Scull (1977) from the Balder Field in Norwegian blocks 25/10 and 25/11. Balder was a son of Odin, and one of the most famous gods in Norse mythology. 
Well type section 
Norwegian well 25/11-1 from 1780 m to 1705 m, coordinates N 59°10'57.39"", E 02°24'28.18"" (Fig 5.57). Cores. 
Well reference sections 
Norwegian well 30/2-1 from 1993 m to 1917 m, coordinates N 60°52'05.42"", E 02°38'49.16"". Cores. Norwegian well 15/9-17 from 2253 to 2204 m, coordinates N 58°26'44.19"", E 01°56'53.58"" (Fig 5.58). No cores. 
Thickness 
The Balder Formation is 75 m thick in the type well. Generally its thickness varies from less than 20 m to more than 100 m. Normally it is between 40 and 60 m. 
Lithology 
The Balder Formation is composed of laminated varicoloured, fissile shales with interbedded grey, green and buff, often pyritic, sandy tuffs and occasional stringers of limestone, dolomite and siderite. Sandstones are locally present, as shown in the type well (Fig 5.57). 
Basal stratotype 
The lower boundary to the Sele or Lista formations is generally identified on logs as an upward decrease in gamma-ray response and an increase in velocity (Fig 5.56) (Fig 5.58) . This probably reflects the increase in the tuffaceous component of the Balder Formation. 
Characteristics of the upper boundary 
The upper boundary is defined at the transition from the laminated shales of the Balder Formation to the non-laminated, often glauconitic, occasionally reddish, overlying sediments. On logs this can normally be seen as an upward reduction in gamma-ray response and a decrease in velocity (Fig 5.56). When the Balder Formation is overlain by the Frigg Formation the boundary is seen as a decrease in gamma-ray response and an increase in velocity into the Frigg Formation (Fig 5.62). The log response of the Balder Formation is often described as bell-shaped (Fig 5.58). 
Distribution 
The Balder Formation is distributed over most of the North Sea, and may correspond in part to the Mo Clay Formation in Denmark. 
Age 
Paleocene - Early Eocene. 
Depositional environment 
The Balder Formation was deposited in a deep marine setting, mainly as hemipelagic sediments. Some turbiditic sands occur locally. There was probably more than one volcanic source. 
Source 
Isaksen, D. and Tonstad, K. (eds.) 1989: A revised Cretaceous and Tertiary lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 5, 59 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=6,6,131
BASEMENT,GROUP,,"Basement

 
On the Norwegian Continental Shelf bedrock of pre-Devonian age are regarded as basement in a petroleumgeological context. More than 50 wells in the North Sea, Norwegian Sea and Barents Sea have penetrated pre-Devonian rocks. Most of these wells were drilled on structural highs with depth to top basement quite evenly distributed between 1200 and 4000m. 
The thicknesses drilled have generally been in the order of a few meters. 5 wells have drilled more than 100m of basement rock:
2/6-3 (142m),
16/1-4 (146m),
16/1-5 (195m),
35/3-2 (233m),
6306/10-1 (207m). 
Some of the pre-Devonian rocks have been dated by the K/Ar-, Ar/Ar- or Rb/Sr-methods, indicating pre-Middle Devonian metamorphic ages. The age of formation of the rocks are ranging from the Precambrian to the Early Paleozoic. 
The pre-Devonian rocks normally encountered include diverse rocks of low to high metamorphic grade, including metamorphosed igneous rocks such as granitic gneiss, and metasedimentary rocks such as mica schist, greenschist, quartzite and marble. The existing data indicate that these rocks are highly fractured and record a history of polyphase deformation from at least late Proterozoic times onward. In some wells weathered rock material forms an intermediate zone between basement and overlying sediments. 
In more than 30 of the wells basement rocks were cored. The cores were taken to confirm that the wells had reached basement, and coring was therefore usually carried out below any weathering. All wells have information from cuttings and logs. 
Gas condensate was tested from fractured crystalline basement in well 16/1-4. Minor shows in basement fractures are recorded in various wells. Highly fractured and/or weathered basement rocks can have some potential as conduits for hydrocarbon migration or as reservoirs. 
Compiled from 
Basset, M. G. Sub-Devonian geology. 61 – 63 in: Evans, D., Graham, C., Armour, A. and Bathurst, P. (editors and coordinators) 2003: The Millennium Atlas: petroleum geology of the central and northern North Sea. The Geological Society of London, 389 pp. 
and NPD-observations. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Groups&nav3=10,10,
BILLEFJORDEN GP,GROUP,,"Billefjorden Group

 Name 
Cutbill & Challinor (1965) introduced the term “Billefjorden Group” for a suite of nonmarine sediments now recognised to be of late Devonian to early Carboniferous age. The type area is in the environs of Billefjorden in central Spitsbergen. The Billefjorden Group is a well-established lithostratigraphic unit and its overall facies development and depositional evolution is well known (e.g. Gjelberg 1981; Steel & Worsley 1984). Lower Carboniferous units in the southern Norwegian Barents Sea are herein also assigned to the group. The offshore development of the group resembles that described from onshore with one major exception: the upper part of the group includes some shallow marine deposits in the southeastern Finnmark Platform. As yet enigmatic red-bed sequences on the Loppa High are also tentatively assigned to the group, but need further investigation (see below). 
Offshore reference areas 
The Barents Sea subsurface reference area is located on the eastern Finnmark Platform (Fig 9.1 , 9.2 , 9.7) , where the Billefjorden Group has been penetrated in its entirety in wells 7128/4-1 from 2503 to 2058 m (Fig 9.8). and 7128/6-1 from 2533.5 m to 2150 m (Fig 9.9). Southwards, towards the Norwegian mainland, the Upper Palaeozoic succession subcrops against the Pliocene/Pleistocene unconformity and the IKU shallow cores 7127/10-U-02, 7127/10-U-03 and 7029/03-U-01 penetrated different intervals of the group (Bugge et al.1995). Present seismic coverage and quality provides reasonable control on the seismic-scale lateral development of the group on the Finnmark Platform. 
Thickness 
Thicknesses of 445 m and 384 m in wells 7128/4-1 and 7128/6-1 respectively should be compared to cumulative thicknesses of up to 2500 m in the type area of Billefjorden and of 590 m on Bjørnøya (Dallmann et al. 1999; Worsley et al. 2001). As elsewhere, the group’s sediments were deposited in the early phase of a period with active rifting, and both wells are located over the crests of structural highs in the southern part of the Finnmark Platform; seismic data indicate that the group is more than 600 m thick in the adjacent halfgrabens. Well 7120/2-1 on the Loppa High penetrated an 847 m thick succession of sediments tentatively assigned herein to the Billefjorden Group; the succession was encountered from 2624 m to 3471 m, before the well was terminated in a possible dolerite (Fig 9.10), see also discussion in next section). 
Lithology 
On the Finnmark Platform, medium- to coarse-grained, occasionally conglomeratic, sandstones and minor siltstones and coals dominate the basal part of the succession represented by the Soldogg Formation. These are overlain by a succession of stacked metre-scale fining-upward cycles of sandstone, siltstone, claystone and coal assigned to the Tettegras Formation. The upper part of the group, represented by the Blærerot Formation, is characterised by a basal unit of fossiliferous limestones, overlain by marine shales and fine- to medium-grained, fluvial and shallow marine sandstones. Sediments tentatively assigned to the group are very differently developed on the Loppa High where well 7120/2-1 penetrated 847 m of varicoloured arkosic breccias, conglomerates, ignimbrites and other types of volcanoclastic deposits (Fig 9.10). The basal 115 m are dominated by brownish siltstone and mudstone. The red nature of these sediments, together with their high content of volcanoclastics, makes them anomalous representatives of the Billefjorden Group in this area, although palynomorphs indicate an early Carboniferous age (Viséan PU to VF Miospore zones from 3467 to 2682 m and early Serpukhovian TK Zone from 2645 to 2630 m) (Lindström, in press). The only other arctic areas where lower Carboniferous red beds have been found are in the northern part of eastern Greenland (Stemmerik et al. 1993), but even there the change to red beds appears to have occurred in the late Tournaisian – i.e. older than the earliest datings on the Loppa High. The Loppa sequence’s overall lithology and tectonic setting seems rather to suggest closer affinities to the lowermost clastics of the overlying mid-Carboniferous Gipsdalen Group. More work is clearly needed on this problem, especially in view of this representing the only occurrence of volcanoclastics in the Upper Palaeozoic of the Barents Shelf; we note that dolerite dykes of probable mid- to late Carboniferous age have been reported by Lippard & Prestvik (1997) on Magerøy in Finnmark and mid-Carboniferous volcanics have also been identified on the adjacent Kola peninsula in northern Russia (Ulmishek 1982). In view of these uncertainties, this sequence has not yet been defined as a formational unit, and its assignment to the Billefjorden Group is still tentative. 
Lateral extent and variation 
The group is generally difficult to map outside the Finnmark Platform and little is known about its regional distribution and variation, although the overall impression is that the Billefjorden Group represents thick siliciclastic-dominated wedges that fill developing Carboniferous half-grabens in the southwestern Barents Sea. On the Finnmark Platform itself seismic mapping of the group suggests pronounced lateral variations in thickness due to infill of local half grabens resulting from Viséan–Serpukhovian rifting. Most of the thickening and probably most of the lateral facies changes are in the uppermost part of the group. The rift event appears to be less pronounced east of approximately 29º 30' on the Finnmark Platform where the base of the group is poorly defined seismically. A possibly pre-Viséan sedimentary succession is present locally in this eastern part of the platform. The group’s representatives also seem to infill local half-grabens on the Loppa High and the Norsel High (central Bjarmeland Platform), and deeply buried half-graben systems appear to be also present further to the east on the Bjarmeland Platform. Thick wedge-shaped units corresponding to the Billefjorden Group are observed on seismic lines along the margins of the Nordkapp Basin, suggesting that the basin already formed a major depocentre at that time.
Sediments assigned to the Billefjorden Group are generally separated from the underlying strata by an angular unconformity, as seen in wells 7128/6-1, 7128/4-1 and core 7029/03-U-01. In 7128/6-1, the group rests on Precambrian metasandstones (Røe & Roberts, 1992) at 2533.5 m RKB, with a 45 m thick transitional zone of conglomeratic sandstones interpreted as weathered and reworked basement rocks. These sediments are included in the Billefjorden Group (see definition of Soldogg Formation). Upwards, they pass into more mature sandstones with rare siltstone and coal beds defined by a sharp upward decrease in bulk density and sonic velocity at 2488.5 m. 
Age 
The Billefjorden Group has been assigned to the Famennian to Viséan in the onshore areas of Bjørnøya and Spitsbergen (Dallmann et al. 1999; Worsley et al. 2001). The offshore development has been dated to the Viséan to early Serpukhovian. On the Finnmark Platform, palynomorphs suggest that the basal part of the group is of middle to late Viséan age (Bugge et al. 1995), i.e. significantly younger than the Famennian to Tournaisian age recorded for the basal sediments onshore. The upper part of the group is apparently of late Viséan to early Serpukhovian age (Bugge et al. 1995; Simon-Robertson 1992 and Geochem Group 1994). As noted above - the succession on the Loppa High has been dated to the Viséan to early Serpukhovian (Lindström, in press). 
Depositional environments 
The Billefjorden Group is characterised by an overall transition from continental fluvially dominated deposits of the Soldogg and Tettegras formations into transitional continental to marginal marine deposits of the Blærerot Formation on the eastern Finnmark Platform. The presence of coal indicates deposition in overall humid climatic conditions in contrast to the overlying Gipsdalen Group that is characterised by sediments deposited in more arid climates.
Shallow core data from 7029/03-U-01 suggest that the lower parts of the Soldogg Formation represent basement wash and braided river deposits. These pass upwards into delta/coastal plain sandstones, siltstones, claystones and coals of the Tettegras Formation, and are overlain by marine and transitional continental to marginal marine deposits of the Blærerot Formation in well 7128/6-1. The transitional nature of this upper part is demonstrated by rare coal beds in the lowermost part of the formation at well 7128/6-1. The Blærerot Formation appears to be missing in 7128/4-1 either as the result of local uplift and erosion or because the marine transgression never reached the high on which the well was drilled. This depositional area was separated by a major fault southwest of well 7128/4-1 from the provenance areas of basement rocks and metasediments towards the Finnmark coast (Gabrielsen et al. 1990). Shallow cores 7127/10-U-02 and 7127/10-U-03 were taken in a proximal position, 2-3 km away from this main fault and record a thick development of Viséan syn-rift fluvial deposits (Bugge et al. 1995).
The succession on the Loppa High apparently represents deposition in alluvial fans and proximal braided river systems in a rapidly subsiding sub-basin. Local volcanic activity is suggested on the basis of the large amount of volcanoclastic material in well 7120/2-1. The depositional environments recorded from the Finnmark Platform generally resemble those recognised in the onshore areas of Spitsbergen and Bjørnøya. The most important difference is the evidence of marine flooding of the eastern Finnmark Platform, perhaps suggesting more prevalent marine conditions in the contemporaneous Nordkapp Basin, with transgression from the east. The lithofacies and depositional environments of the Billefjorden Group on Spitsbergen and Bjørnøya are summarised by Gjelberg (1981), Steel & Worsley (1984) and Harland (1997), all emphasising the considerable facies variations related to local variations in tectonic regime. The reservoir potential of the group’s sandstones has been noted by several authors (Grønlie et al. 1980, Steel & Worsley 1984, Worsley et al. 2001). 
Formations assigned to the group 
The Billefjorden Group is represented by three formations on the Finnmark Platform and these are formally defined and described herein. Formational names are selected from land plants found in northern Norway that utilise nourishment from insects that stick to their leaves. The succession in well 7120/2-1 on the Loppa High is not yet given any formal formational status. 
Source 
Larssen, G. B., Elvebakk, G., Henriksen, L. B., Kristensen, S. E., Nilsson, I., Samuelsberg, T. J., Svånå, T. A., Stemmerik, L. and Worsley, D. 2002: Upper Palaeozoic lithostratigraphy of the Southern Norwegian Barents Sea. NPD-Bulletin No. 9, 69 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Groups&nav3=11,11,
