,fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
0,ALBUSKJELL,Reservoir,"Albuskjell produced gas and condensate from Maastrichtian and lower Paleocene chalk. The accumulation is located above a salt dome. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of 3200 metres. The overlying Ekofisk Formation has poorer reservoir quality and has hardly been drained. There are significant remaining resources.",43437,09.12.2023,02.04.2024
1,ALBUSKJELL,Recovery strategy,The field was produced by pressure depletion.,43437,28.02.2023,02.04.2024
2,ALBUSKJELL,Transport,The well stream was transported via pipeline to the Ekofisk Complex for export.,43437,28.02.2023,02.04.2024
3,ALBUSKJELL,Development,"Albuskjell is a field in the southern part of the Norwegian sector in the North Sea, 20 kilometres west of the Ekofisk field. The water depth is 70 metres. Albuskjell was discovered in 1972, and the plan for development and operation (PDO) was approved in 1975. The field was developed with two steel installations for drilling and production. The production started in 1979.",43437,09.12.2023,02.04.2024
4,ALBUSKJELL,Status,"Albuskjell was shut down in 1998, and the platforms were removed in 2011 and 2013, respectively. The field is currently being evaluated for redevelopment in combination with other decommissioned fields in the area.",43437,09.12.2023,02.04.2024
5,ALVE,Recovery strategy,The field is produced by pressure depletion.,4444332,28.02.2023,02.04.2024
6,ALVE,Transport,The oil is offloaded from the Norne FPSO and the gas is transported via the Norne pipeline to the Åsgard Transport System (ÅTS) and further to the Kårstø terminal for export.,4444332,28.02.2023,02.04.2024
7,ALVE,Reservoir,"Alve produces oil and gas from sandstone of Early and Middle Jurassic age in the Tilje, Not and Garn Formations. The reservoir is at a depth of 3600 metres and has moderate to good quality.",4444332,12.12.2023,02.04.2024
8,ALVE,Status,Production from Alve is constrained by the commercial agreement with the Norne licence and the gas handling capacity on the Norne FPSO. Excess capacity on the FPSO in recent years has made it possible to process larger volumes of gas from Alve. The long-term activity on the field is to optimise production. An exemption from a PDO was granted for the development of the discovery 6507/3-8 Andvare in 2023. Andvare will be drilled and produced from an available well slot on Norne.,4444332,12.12.2023,02.04.2024
9,ALVE,Development,"Alve is a field in the Norwegian Sea, 16 kilometres southwest of the Norne field. The water depth is 370 metres. Alve was discovered in 1990, and the plan for development and operation (PDO) was approved in 2007. The development concept is a standard subsea template with four production wells. Alve is tied to the Norne production, storage and offloading vessel (FPSO) by a pipeline. The production started in 2009.",4444332,12.12.2023,02.04.2024
