,field,year,oil,gas,NGL,condensate,OE,water,fldID
1,16/1-12 Troldhaugen,2022,0.096,0.0,0.0,0.0,0.096,0.162,17196400
4,33/9-6 DELTA,2010,0.021,0.0,0.0,0.0,0.021,0.038,44576
9,7220/11-1 (Alta),2018,0.106,0.0,0.0,0.0,0.106,0.003,25288497
2122,AASTA HANSTEEN,2021,0.0,8.92,0.0,0.172,9.092,0.019,23395946
12,ALBUSKJELL,1981,1.426,2.249,0.268,0.0,3.943,0.0,43437
30,ALVE,2009,0.259,0.9,0.313,0.0,1.472,0.003,4444332
46,ALVHEIM,2009,4.986,0.436,0.0,0.0,5.422,0.377,2845712
65,ATLA,2016,0.022,0.465,0.0,0.0,0.488,0.004,21106284
80,BALDER,2005,6.984,0.254,0.0,0.0,7.239,2.792,43562
99,BAUGE,2023,0.18,0.046,0.024,0.0,0.251,0.002,29446221
101,BLANE,2008,0.139,0.0,0.006,0.0,0.145,0.0,3437650
120,BRAGE,1996,6.398,0.341,0.209,0.0,6.947,0.0,43651
149,BRYNHILD,2015,0.255,0.0,0.0,0.0,0.255,0.062,21123063
154,BYRDING,2018,0.209,0.0,0.0,0.0,0.209,0.063,28975067
160,BØYLA,2015,0.761,0.071,0.0,0.0,0.833,0.031,22492497
172,COD,1980,0.465,0.843,0.107,0.0,1.415,0.0,43785
199,DRAUGEN,2001,11.859,0.274,0.734,0.0,12.866,0.249,43758
223,DUVA,2022,1.073,0.0,0.0,0.0,1.073,0.038,34833026
227,DVALIN,2023,0.009,0.216,0.0,0.003,0.228,0.0,29393934
229,EDDA,1980,1.26,0.42,0.085,0.0,1.765,0.0,43541
254,EDVARD GRIEG,2021,5.688,0.491,0.281,0.0,6.461,0.913,21675433
288,EKOFISK,2002,17.233,2.743,0.605,0.0,20.581,5.545,43506
311,ELDFISK,1980,5.875,1.496,0.295,0.0,7.666,0.0,43527
356,EMBLA,1994,1.416,0.428,0.096,0.0,1.94,0.0,43534
388,ENOCH,2009,0.072,0.0,0.0,0.0,0.072,0.001,3437659
401,FENJA,2023,0.439,0.038,0.009,0.0,0.487,0.008,31164879
403,FLYNDRE,2018,0.023,0.0,0.0,0.0,0.024,0.0,24635035
414,FRAM,2009,3.381,0.423,0.068,0.0,3.872,0.295,1578840
430,FRAM H-NORD,2015,0.269,0.0,0.0,0.0,0.269,0.361,23410947
440,FRIGG,1981,0.0,10.928,0.0,0.048,10.976,0.0,43555
465,FRØY,1996,1.778,0.345,0.0,0.023,2.147,0.0,43597
471,GAUPE,2012,0.111,0.161,0.013,0.007,0.293,0.004,18161341
481,GIMLE,2008,0.611,0.0,0.0,0.0,0.611,0.561,4005142
502,GINA KROG,2022,0.659,2.811,0.048,0.0,3.519,0.023,23384544
507,GJØA,2013,1.935,3.886,2.022,0.193,8.035,0.177,4467574
519,GLITNE,2002,2.157,0.0,0.0,0.0,2.157,0.416,1272071
533,GOLIAT,2018,3.72,0.0,0.0,0.0,3.72,0.396,5774394
543,GRANE,2006,12.614,0.0,0.0,0.0,12.614,4.686,1035937
564,GUDRUN,2017,3.193,2.009,0.48,0.0,5.682,0.24,18116481
579,GULLFAKS,1994,30.743,2.017,0.448,0.0,33.208,0.0,43686
628,GULLFAKS SØR,2017,1.485,5.907,1.593,0.0,8.985,1.055,43699
642,GUNGNE,2003,0.0,0.0,0.416,0.573,0.989,0.024,43464
667,GYDA,1994,3.808,0.475,0.413,0.0,4.696,0.0,43492
696,HEIDRUN,1997,13.456,0.326,0.0,0.0,13.783,0.0,43771
733,HEIMDAL,1996,0.627,4.569,0.0,0.0,5.197,0.0,43590
756,HOD,1991,1.526,0.202,0.088,0.0,1.816,0.0,43485
791,HULDRA,2003,1.183,2.958,0.023,0.0,4.164,0.428,97002
805,HYME,2015,0.839,0.118,0.098,0.0,1.055,0.341,20474183
809,ISLAY,2013,0.002,0.031,0.003,0.0,0.035,0.0,21105675
822,IVAR AASEN,2018,3.074,0.639,0.196,0.0,3.909,1.055,23384520
828,JETTE,2013,0.219,0.005,0.0,0.0,0.224,0.035,21613906
836,JOHAN SVERDRUP,2023,30.614,1.009,0.508,0.0,32.131,2.185,26376286
838,JOTUN,2000,7.166,0.313,0.0,0.0,7.479,0.821,43604
856,KNARR,2016,2.734,0.142,0.48,0.0,3.355,0.281,20460988
