,prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
0,16/1-12 Troldhaugen,2021,8,0.00653,0.0,0.0,0.0,0.00653,0.00291,17196400
1,16/1-12 Troldhaugen,2021,9,0.01053,0.0,0.0,0.0,0.01053,0.00719,17196400
2,16/1-12 Troldhaugen,2021,10,0.01238,0.0,0.0,0.0,0.01238,0.00912,17196400
3,16/1-12 Troldhaugen,2021,11,0.01298,0.0,0.0,0.0,0.01298,0.01186,17196400
4,16/1-12 Troldhaugen,2021,12,0.00461,0.0,0.0,0.0,0.00461,0.00418,17196400
5,16/1-12 Troldhaugen,2022,1,0.01015,0.0,0.0,0.0,0.01015,0.00926,17196400
6,16/1-12 Troldhaugen,2022,2,0.01618,0.0,0.0,0.0,0.01618,0.01946,17196400
7,16/1-12 Troldhaugen,2022,3,0.00831,0.0,0.0,0.0,0.00831,0.01439,17196400
8,16/1-12 Troldhaugen,2022,4,1e-05,0.0,0.0,0.0,1e-05,0.0,17196400
9,16/1-12 Troldhaugen,2022,5,0.0,0.0,0.0,0.0,0.0,0.0,17196400
10,16/1-12 Troldhaugen,2022,6,0.0111,0.0,0.0,0.0,0.0111,0.0147,17196400
11,16/1-12 Troldhaugen,2022,7,0.01,0.0,0.0,0.0,0.01,0.01404,17196400
12,16/1-12 Troldhaugen,2022,8,0.01162,0.0,0.0,0.0,0.01162,0.01858,17196400
13,16/1-12 Troldhaugen,2022,9,0.01002,0.0,0.0,0.0,0.01002,0.01903,17196400
14,16/1-12 Troldhaugen,2022,10,0.00966,0.0,0.0,0.0,0.00966,0.01924,17196400
15,16/1-12 Troldhaugen,2022,11,0.00878,0.0,0.0,0.0,0.00878,0.01777,17196400
16,16/1-12 Troldhaugen,2022,12,0.0,0.0,0.0,0.0,0.0,0.01559,17196400
17,16/1-12 Troldhaugen,2023,1,0.00853,0.00196,0.0,0.0,0.01049,0.01781,17196400
18,16/1-12 Troldhaugen,2023,2,0.00447,0.00082,0.0,0.0,0.00529,0.00921,17196400
19,16/1-12 Troldhaugen,2023,3,0.00364,0.0006,0.0,0.0,0.00424,0.01069,17196400
20,16/1-12 Troldhaugen,2023,4,0.00357,0.00064,0.0,0.0,0.00421,0.0111,17196400
21,16/1-12 Troldhaugen,2023,5,0.0041,0.00059,0.0,0.0,0.00469,0.01123,17196400
22,16/1-12 Troldhaugen,2023,6,0.00474,0.00135,0.0,0.0,0.00609,0.0116,17196400
23,16/1-12 Troldhaugen,2023,7,4e-05,0.00064,0.0,0.0,0.00068,0.0,17196400
24,16/1-12 Troldhaugen,2023,8,0.00397,0.0,0.0,0.0,0.00397,0.00016,17196400
