field,#,sea,status,HC type,PL/BAA,operator,HPHT,reservoir,development,group,formation,lithology,recovery,FactPageUrl,norwegian share,rec. oil,rec. gas,rec. ass. liq.,rec. OE,rem. oil,rem. gas,rem. ass. liq.,rem. OE,STOIIP,GIIP,in-place ass. liquid,in-place ass. gas,in-place free gas,in-place OE,in-place liq./OE ratio,in-place free gas/OE ratio,RF oil,RF liq.,RF gas,RF OE,maturity oil,maturity gas,maturity liq.,maturity OE,t10,t25,t50,t75,t90,t95,t100,prod. age,start year,rem. OE prod. years,est. total lifetime,est. rem. lifetime,est. P&A year,peak year,peak OE YPR,peak oil YPR,peak gas YPR,well num,prod. num,inj. num,obs. num,subsea index,lat,lon,depth min,depth mean,depth median,depth max,water depth,depth,p_h,p0,grad_p0,p0 checked,T0,GOR,oil FVF,gas FVF,oil PV0,gas PV0,HCPV0,gas PV0/HC PV0,rec. oil PV,rec. gas PV,rec. HCPV,CO2 SC,H2 SC,CO2 SC/well num,CO2 density RC,injectivity ind.,total score
ALBUSKJELL,0,NORTH,approved,gas,018 F,ConocoPhillips Skandinavia AS,False,"The reservoirs contain gas and condensate from Maastrichtian and lower Paleocene chalk. The accumulation is located above a salt dome. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of 3200 metres. The overlying Ekofisk Formation has poorer reservoir quality and has hardly been drained.","Albuskjell is a field in the southern part of the Norwegian sector in the North Sea, 20 kilometres west of the Ekofisk field. The water depth is 70 metres. Albuskjell was discovered in 1972. The original plan for development and operation (PDO) was approved in 1975, and production started in 1979. The field was developed with two steel installations. Albuskjell was shut down in 1998, and the platforms were removed in 2013. A PDO for the redevelopment of Albuskjell was approved in 2026. The development concept includes two subsea templates with six wells tied back to the Ekofisk Centre.",Shetland,"Tor, Ekofisk",carbonate,The field will be produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/43437,1.0,7.35,15.53,1.88,24.77,0.0,0.0,0.0,0.0,0.0,55.9,40.1,0.0,55.9,96.0,0.42,0.582,,0.23,0.2778,0.258,,1.0,1.0,1.0,1.0326,2.0895,3.949,7.4405,12.1635,15.1835,19.25,19.25,1979.417,,,,,1981.0,3.943,1.694,2.249,20.0,20.0,0.0,0.0,0.0,56.6315466,2.99692745,3295.4,3411.8,3385.5,4132.0,69.0,3204.4,345.7,499.9,155.7,True,130.0,,0.0,0.0033697177920364884,0.0,188.37,188.37,1.0,0.0,52.33,52.33,38.57,1.27,1.93,737.0,,0.0
ALVE,1,NORWEGIAN,producing,gas/oil,159 B,Equinor Energy AS,False,"Alve produces oil and gas from sandstone of Early and Middle Jurassic age in the Tilje, Not and Garn Formations. The reservoir is at a depth of 3600 metres and has moderate to good quality.","Alve is a field in the Norwegian Sea, 16 kilometres southwest of the Norne field. The water depth is 370 metres. Alve was discovered in 1990, and the plan for development and operation (PDO) was approved in 2007. The development concept is a standard subsea template with four production wells. Alve is tied to the Norne production, storage and offloading vessel (FPSO) by a pipeline. The production started in 2009. An exemption from a PDO was granted for the development of the discovery 6507/3-8 Andvare in 2023.","Båt, Fangst","Tilje, Not, Garn",clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/4444332,1.0,2.61,12.25,3.12,17.98,0.2,2.21,0.51,2.92,5.07,18.66,5.67,1.59,17.07,30.99,0.35,0.551,0.515,0.533,0.6565,0.5802,0.923,0.82,0.875,0.838,1.1117,3.2483,8.878,14.9633,,,,16.417,2009.25,3.6,25.316,8.899,2034.899,2009.0,1.472,0.572,0.9,5.0,4.0,0.0,1.0,1.0,65.968446,7.810067600000001,3585.0,3726.6,3714.0,3841.0,368.0,3714.0,379.1,480.0,129.0,True,128.1,313.6,1.8632782822232372,0.003439114673158871,9.45,58.71,68.15,0.86,5.04,38.54,43.58,31.78,1.03,6.36,729.0,3389.0,0.0
ALVE NORD,2,NORWEGIAN,approved,gas/oil,127 C,Aker BP ASA,False,"The reservoirs contain oil and gas in the Lower Jurassic Båt Group and the Middle Jurassic Fangst Group, and gas in the Early Cretaceous Lange Formation. The Lange Formation reservoir is at a depth of 3000 metres and the Jurassic reservoirs at about 3600-4000 metres. The reservoir properties are varying.","Alve Nord is a field in the northern part of the Norwegian Sea, 40 kilometres northeast of the Skarv field. The water depth is 380 metres. Alve Nord was discovered in 2011, and the plan for development and operation (PDO) was approved in 2023. The development concept includes a subsea template with two production wells tied-back to the Skarv floating, production, storage and offloading vessel (FPSO).","Båt, Fangst, Cromer Knoll",Lange,clastic,The field will be produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/42002483,1.0,1.54,4.21,1.22,6.96,1.54,4.21,1.22,6.96,17.4,17.7,4.56,3.8,13.9,43.46,0.5,0.32,0.089,0.126,0.2379,0.1601,0.0,0.0,0.0,0.0,,,,,,,,,2028.0,,10.0,10.0,2038.0,,,,,2.0,0.0,0.0,0.0,1.0,66.0116375,7.832675,1241.0,2743.0,2743.0,4245.0,370.0,3500.0,280.3,470.0,134.0,True,121.1,218.4,1.6033207967968144,0.0034196058406002743,27.9,47.53,75.43,0.63,3.5,11.31,14.81,10.99,0.35,5.5,742.0,,0.0
ALVHEIM,3,NORTH,producing,oil/gas,203,Aker BP ASA,False,"Alvheim produces oil and gas from Paleocene sandstone in the Hermod and Heimdal Formations. The reservoirs are located in submarine fan deposits and injectites, mostly at depths of 2100-2200 metres. The reservoir quality is good.","Alvheim is a field in the central part of the North Sea, ten kilometres west of the Heimdal field and near the border to the UK sector. The field includes the six discoveries Kameleon, Boa, Kneler, Viper, Kobra and Gekko. Boa lies partly in the UK sector. The water depth is 120-130 metres. Alvheim was discovered in 1998, and the plan for development and operation (PDO) was approved in 2004. The field is developed with subsea wells tied to a production, storage and offloading vessel, Alvheim FPSO. The production started in 2008. The Vilje, Volund, Bøyla, Skogul and Tyrving fields are tied-back to the Alvheim FPSO. In 2022, a PDO for the development of the accumulations Kobra East and Gekko was approved.",Rogaland,"Hermod, Heimdal",clastic,The field is produced by natural water drive from an underlying aquifer.,https://factpages.sodir.no/field/pageview/all/2845712,1.0,64.77,17.34,0.78,82.89,9.41,7.62,0.78,17.82,129.06,32.39,0.62,12.88,19.51,174.95,0.74,0.112,0.502,0.505,0.5354,0.4738,0.855,0.561,0.845,0.785,1.7631,4.0888,9.4946,16.7514,,,,17.583,2008.5,9.0,34.64,17.057,2043.057,2009.0,5.422,4.986,0.436,81.0,66.0,2.0,13.0,1.0,59.551763851851845,2.0004394320987653,1157.0,2100.0,2125.0,2341.0,121.7,2125.0,217.3,217.3,101.8,False,76.5,99.8,1.248009765652295,0.005264831402937089,161.07,102.72,263.79,0.39,81.41,54.99,136.4,88.94,1.84,1.1,652.0,2263.0,0.0
ATLA,4,NORTH,shut down,gas/oil,,,False,Atla produced gas from Middle Jurassic sandstone in the Brent Group. The reservoir is at a depth of 2700 metres and has good quality.,"Atla is a field in the central part of the North Sea, 20 kilometres northeast of the Heimdal field. The water depth is 120 metres. Atla was discovered in 2010, and the plan for development and operation (PDO) was approved in 2011. The field was developed with one production well which was connected to a subsea facility and was tied-back to Heimdal via the Skirne field. The production started in 2012.",Brent,Brent,clastic,The field was produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/21106284,1.0,0.28,1.48,0.0,1.76,0.0,0.0,0.0,0.0,0.44,1.88,0.0,0.0,1.88,2.32,0.19,0.81,0.636,0.636,0.7872,0.7586,1.0,1.0,1.0,1.0,0.1649,0.4821,1.1057,2.4332,3.9985,4.5509,5.6667,5.667,2012.833,0.0,,0.0,2023.5,2016.0,0.488,0.022,0.465,1.0,1.0,0.0,0.0,1.0,59.662017,2.570942,2695.0,2695.0,2695.0,2695.0,119.0,2695.0,275.4,404.5,149.7,True,95.0,199.5,1.5264229133598064,0.003483047804140596,0.67,6.55,7.22,0.91,0.43,5.15,5.58,4.33,0.12,4.33,776.0,1731.0,0.0
BALDER,5,NORTH,producing,oil,001,Vår Energi ASA,False,"Balder, including Ringhorne, produces oil from several separate deposits in sandstone of Jurassic, Paleocene and Eocene age. Balder produces from the Heimdal and Hermod Formations as well as from the injected sand complex above them. Ringhorne produces from the Hugin, Ty and Hermod Formations. The reservoirs are of good to very good quality. The Balder reservoir is at a depth of 1700 metres and the Ringhorne reservoir at a depth of 1900 metres.","Balder is a field in the central part of the North Sea, just west of the Grane field. The water depth is 125 metres. Balder was discovered in 1967, and the initial plan for development and operation (PDO) was approved in 1996. The production started in 1999. The field has been developed with subsea wells tied-back to the Balder production, storage and offloading vessel (FPSO). The Ringhorne deposit, located nine kilometres north of the Balder FPSO, is included in the Balder complex. Ringhorne is developed with a combined accommodation, drilling and wellhead facility, tied-back to the Balder FPSO and Jotun FPSO for processing, crude oil storage and gas export. The nearby field Ringhorne Øst is also tied-back to Balder via the Ringhorne platform. The PDO for Ringhorne Jura was approved in 2000, and the production started in 2003. The Ringhorne Vest PDO exemption was approved in 2003, and the production started in 2004. An amended PDO for Ringhorne was approved in 2007. A revised PDO for Balder and Ringhorne was approved in 2020. The development plan includes lifetime extension and relocation of the Jotun FPSO, and drilling of new subsea wells.

","Rogaland, Vestland","Heimdal, Hermod, Hugin, Ty",clastic,"Balder and Ringhorne produce primarily by natural aquifer drive, but reinjection of produced water is used for pressure support, especially into the Ringhorne Jurassic reservoir. Excess water is injected into the Utsira Formation. Gas is also reinjected if the gas export system is down.",https://factpages.sodir.no/field/pageview/all/43562,1.0,112.35,3.64,0.0,115.99,32.54,1.61,0.0,34.15,261.3,14.2,0.0,14.2,0.0,289.7,0.9,0.0,0.43,0.43,0.2563,0.4004,0.71,0.558,0.71,0.706,3.4534,6.6106,14.6306,,,,,26.667,1991.417,,62.68,36.013,2062.013,2005.0,7.239,6.984,0.254,83.0,64.0,12.0,7.0,0.688,59.222551253012035,2.413627795180723,891.0,1761.5,1745.0,2023.5,127.3,1745.0,178.7,178.7,101.8,False,64.2,54.3,1.1285540400378682,0.0059819432230493385,294.89,0.0,294.89,0.0,126.79,0.0,126.79,82.78,1.48,1.0,653.0,1346.0,0.0
BAUGE,6,NORWEGIAN,producing,oil,348,Equinor Energy AS,False,"The main reservoirs contain oil in Lower and Middle Jurassic sandstone in the Tilje and Ile Formations, at a depth of 2700 metres. They are segmented and have moderate quality.","Bauge is a field on the Halten bank in the southern Norwegian Sea, 15 kilometres east of the Njord field. The water depth is 280 metres. Bauge was discovered in 2013, and the plan for development and operation (PDO) was approved in 2017. The field is developed with two production wells tied-back to the Njord A facility and a water injection well drilled from the subsea template on the Hyme field. The production started in 2023.","Båt, Fangst","Tilje, Ile",clastic,The field is produced by pressure depletion. Pressure maintenance with water injection is planned to start few years after production start-up.,https://factpages.sodir.no/field/pageview/all/29446221,1.0,2.26,0.73,0.7,3.67,1.61,0.59,0.59,2.79,16.26,4.66,0.0,4.66,0.0,25.58,0.64,0.0,0.139,0.182,0.1567,0.1435,0.288,0.192,0.258,0.24,0.9427,,,,,,,2.583,2023.333,,14.106,11.523,2037.523,2023.0,0.345,0.298,0.047,2.0,2.0,0.0,0.0,1.0,64.355046,7.4616225,2987.1,3030.1,3030.1,3073.1,281.5,3030.1,309.5,309.5,101.8,False,105.9,286.6,1.7696605998562014,0.004380009633620572,28.77,0.0,28.77,0.0,5.24,0.0,5.24,3.41,0.09,1.7,650.0,912.0,0.0
BERLING,7,NORWEGIAN,approved,gas,644 B,OMV (Norge) AS,True,Berling contains gas and condensate. The Berling Garn reservoir is in the Middle Jurassic Garn Formation. It is at a depth of 4100 metres and has high pressure and high temperature (HPHT). The reservoir is structurally complex and has varying reservoir quality. The Berling Breiflabb reservoir is in intra-Lange Formation turbidite sandstone of Late Cretaceous age at a depth of 3900 metres.,"Berling is a field on the Halten Terrace in the Norwegian Sea, 20 kilometres west of the Åsgard field. Berling consists of two accumulations, Berling Garn and Berling Breiflabb. The water depth is about 350 metres. Berling was discovered in 2018, and the plan for development and operation (PDO) was approved in 2023. The development concept includes a subsea template with four slots tied-back to the Åsgard B facility.","Fangst, Cromer Knoll","Garn, intra-Lange",clastic,The field will be produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/42002473,1.0,1.51,4.46,1.37,7.34,1.51,4.46,1.39,7.36,0.0,15.11,3.02,0.0,15.11,18.13,0.17,0.833,,0.953,0.2952,0.4049,,0.0,-0.007,-0.003,,,,,,,,,2028.0,,10.2,10.2,2038.2,,,,,5.0,0.0,0.0,0.0,1.0,65.1999608,6.3860252,1440.0,3606.0,4236.0,4513.0,377.0,4236.0,432.2,715.5,168.7,True,145.0,,0.0,0.0028515360809926063,0.0,43.09,43.09,1.0,0.0,12.72,12.72,10.3,0.4,2.06,809.0,,0.0
BESTLA,8,NORTH,approved,oil/gas,740,OKEA ASA,False,The reservoir contains oil with a gas cap in sandstone of Late Jurassic age in the Sognefjord Formation. It is at a depth of 2150 metres and has varying reservoir properties.,"Bestla is a field in the northern North Sea, 13 kilometres south of the Brage field. The water depth is 120 metres. Bestla was discovered in 2016, and the plan for development and operation (PDO) was approved in November 2024. The development concept includes a subsea template with two wells tied-back to the Brage platform.",Viking,Sognefjord,clastic,"The field will be produced by natural aquifer drive combined with the expansion of the gas cap, in addition to gas lift in the wells.",https://factpages.sodir.no/field/pageview/all/42002507,1.0,2.62,0.85,0.3,3.78,2.62,0.85,0.3,3.78,14.03,3.14,0.0,2.04,1.1,19.21,0.73,0.057,0.187,0.208,0.2707,0.1968,0.0,0.0,0.0,0.0,,,,,,,,,2028.0,,7.8,7.8,2035.8,,,,,6.0,0.0,0.0,0.0,1.0,60.42521300000001,3.0394166666666664,2254.0,2375.0,2274.0,2756.0,121.0,2150.0,232.5,240.9,111.6,True,77.3,145.4,1.3656656294289922,0.004821363204919885,19.16,5.3,24.46,0.22,3.99,1.44,5.43,3.73,0.08,0.62,687.0,,0.0
BLANE,9,NORTH,producing,oil,BLANE UNIT,Repsol Norge AS,False,Blane produces oil from Paleocene sandstone in the Forties Formation. The reservoir is at a depth of 3100 metres and has moderate to good quality.,"Blane is a field in the southern part of the Norwegian sector in the North Sea, 35 kilometres southwest of the Ula field. The field is located on the border to the UK sector and the Norwegian share of the field is 18 per cent. The water depth is 70 metres. Blane was discovered in 1989, and the plan for development and operation (PDO) was approved in 2005. The field has been developed with a subsea facility on the British continental shelf with two horizontal production wells tied-back to the Ula field. The production started in 2007.",Rogaland,Forties,clastic,"Until 2019, the field was produced with pressure support from injection of produced water from the Blane, Tambar and Ula fields. The field is now produced by pressure depletion. In addition, gas lift is used in the wells.",https://factpages.sodir.no/field/pageview/all/3437650,0.18,1.6,0.0,0.13,1.72,0.01,0.0,0.0,0.02,2.7,0.0,0.0,0.0,0.0,2.7,1.0,0.0,0.593,0.642,,0.637,0.994,,0.994,0.988,0.5463,1.4758,3.4509,6.4954,10.8178,14.1168,,17.167,2007.75,4.0,18.939,1.773,2027.773,2008.0,0.145,0.145,0.0,5.0,2.0,1.0,0.0,1.0,56.887519,2.476583,,,,,75.0,3116.0,,388.5,124.4,True,133.9,252.2,1.7062858274741335,0.00403327419484559,4.61,0.0,4.61,0.0,2.96,0.0,2.96,1.9,0.06,2.11,641.0,,0.0
