,wlbWellboreName,wlbWellType,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbEntryPreDrillDate,wlbCompPreDrillDate,field,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbProductionFacility,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbContentPlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,lat,lon,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbDiskosWellboreType,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType1,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,prlNpdidProdLicenceTarget,fclNpdidFacilityProducing,dscNpdidDiscovery,fldID,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbAliasName,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD,SSTVD,grad T (degC/km)
1,1/2-2,EXPLORATION,1/2-2,Paladin Resources Norge AS,143 CS,WILDCAT,P&A,OIL SHOWS, NO,2005-12-14,2006-02-02,,,,1103-L,,NO,138.0,,inline 7429-trace 4824 Survey PGS CGMNOR,4.9,40.0,3432.0,3434.0,74.0,,PALEOCENE           ,EKOFISK FM          ,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,,12,NO,WILDCAT,,2005,2006,,,12,,,,,                    ,                    ,51,NO,,,,ED50  ,56,59,32.0,N,2,29,47.66,E,56.992222,2.496572,6316774.33,469410.1,31,1,2,initial             , ,2,,,https://factpages.npd.no/pbl/wellbore_press_releases/5192-1-2-2.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5192,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5192,initial             ,                                        ,2008-08-15,2008-02-02,,5192,,,,,278245.0,0,2424919.0,,,2024-01-02,2024-01-02,22.03.2024,3392.0,38.44
7,1/3-3,EXPLORATION,1/3-3,Elf Petroleum Norge AS,065 ,WILDCAT,P&A,OIL, NO,1982-08-22,1983-03-24,,,TAMBAR,343-L,1/3-3 Tambar,YES,179.0,,8186 - 216  sp264-8186-407 sp463,0.0,25.0,4875.0,4876.0,68.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,BORGSTEN DOLPHIN,SEMISUB STEEL,MOVEABLE,,6,NO,WILDCAT,NOT APPLICABLE,1982,1983,,,5,ULA FM,LATE JURASSIC,,,                    ,                    ,215,NO,,,,ED50  ,56,57,8.56,N,2,58,54.05,E,56.952378,2.981681,6312226.32,498885.66,31,1,3,initial             , ,3,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=87,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=87,initial             ,                                        ,2010-04-30,1985-03-24,,87,,,43826.0,1028599.0,288334.0,0,21316.0,,,2024-01-02,2024-01-03,22.03.2024,4850.0,35.34
8,1/3-4,EXPLORATION,1/3-4,Elf Petroleum Norge AS,065 ,WILDCAT,P&A,OIL SHOWS, NO,1983-02-15,1983-05-08,,,,361-L,,NO,144.0,,8186 - 208 AND 8186 - 421 crossing of lines,0.0,25.0,3198.0,3198.0,72.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,DYVI ALPHA,SEMISUB STEEL,MOVEABLE,,6,NO,WILDCAT,NOT APPLICABLE,1983,1983,,,12,,,,,                    ,                    ,83,NO,,,,ED50  ,56,56,39.21,N,2,43,0.23,E,56.944225,2.716731,6311354.32,482765.43,31,1,3,initial             , ,4,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2,initial             ,                                        ,2010-04-30,1985-05-08,,2,,,,,297514.0,0,21316.0,,,2024-01-02,2024-01-02,22.03.2024,3173.0,42.98
9,1/3-5,EXPLORATION,1/3-5,A/S Norske Shell,011 ,WILDCAT,P&A,DRY, NO,1984-10-01,1985-02-11,,,,435-L,,NO,172.0,,79111  SP. 527,0.0,35.0,4850.0,4850.0,71.0,,EARLY PERMIAN       ,ROTLIEGEND GP       ,NORTH SEA,NEDDRILL TRIGON,JACK-UP 3 LEGS,MOVEABLE,,1-A,NO,WILDCAT,NOT APPLICABLE,1984,1985,,,1,,,,,                    ,                    ,134,NO,,,,ED50  ,56,46,16.02,N,2,53,38.85,E,56.771117,2.894125,6292053.66,493528.57,31,1,3,initial             , ,5,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=223,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=223,initial             ,                                        ,2006-02-15,1987-02-11,,223,,,,,296947.0,0,20844.0,,,2024-01-02,2024-01-02,22.03.2024,4815.0,34.14
10,1/3-6,EXPLORATION,1/3-6,Elf Petroleum Norge AS,065 ,WILDCAT,P&A,GAS/CONDENSATE, NO,1991-03-11,1991-06-22,,,OSELVAR,669-L,1/3-6 Oselvar,YES,142.0,,LINJE SH 8902 - 161   SP436,4.5,25.0,3584.0,3586.0,72.0,,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA,DYVI STENA,SEMISUB STEEL,MOVEABLE,,6,NO,WILDCAT,NOT APPLICABLE,1991,1991,,,17,FORTIES FM,PALEOCENE,,,                    ,                    ,104,NO,,,,ED50  ,56,56,14.92,N,2,42,20.81,E,56.937478,2.705781,6310606.04,482095.98,31,1,3,initial             , ,6,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1521,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1521,initial             ,                                        ,2007-12-19,1993-06-22,,1521,,,43832.0,5506919.0,290980.0,0,21316.0,,,2024-01-02,2024-01-02,22.03.2024,3559.0,37.76
11,1/3-7,EXPLORATION,1/3-7,Elf Petroleum Norge AS,065 ,APPRAISAL,P&A,OIL, NO,1995-02-13,1995-05-25,,,OSELVAR,804-L,1/3-6 Oselvar,NO,136.0,,BPN 9202  inline 1084 & xline3062,7.0,44.7,3342.0,3345.0,72.0,,PALEOCENE           ,VÅLE FM             ,NORTH SEA,WEST EPSILON,JACK-UP 3 LEGS,MOVEABLE,,6,NO,APPRAISAL,NOT APPLICABLE,1995,1995,,,5,FORTIES FM,PALEOCENE,,,                    ,                    ,102,NO,,,,ED50  ,56,56,25.15,N,2,40,34.61,E,56.940319,2.676281,6310930.49,480302.33,31,1,3,initial             , ,7,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2505,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2505,initial             ,                                        ,2010-04-30,1997-05-25,,2505,,,43832.0,5506919.0,296110.0,0,21316.0,,,2024-01-02,2024-01-02,22.03.2024,3297.3,38.94
12,1/3-8,EXPLORATION,1/3-8,Amoco Norway Oil Company,011 ,WILDCAT,P&A,SHOWS, NO,1996-12-12,1997-05-27,,,,855-L,,NO,179.0,,RANDOM LINES SH 9201 S1 OG S2,4.0,41.0,5199.0,5201.0,70.0,,TRIASSIC            ,SMITH BANK FM       ,NORTH SEA,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,MOVEABLE,,1-A,NO,WILDCAT,NOT APPLICABLE,1996,1997,,,12,,,,,                    ,                    ,167,NO,,,,ED50  ,56,52,7.14,N,2,53,20.75,E,56.86865,2.889097,6302911.22,493238.84,31,1,3,initial             , ,8,,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2829,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2829,initial             ,                                        ,2010-04-30,1999-05-27,,2829,,,,,296191.0,0,20844.0,,,2024-01-02,2024-01-02,22.03.2024,5158.0,33.23
13,1/3-9 S,EXPLORATION,1/3-9,BP Norway Limited U.A.,065 ,APPRAISAL,RE-CLASS TO DEV,OIL, NO,1998-05-08,1998-07-31,,,TAMBAR,928-L,1/3-3 Tambar,NO,168.0,,BPNHR97-13 X-OVER BPNHR97-22,25.9,23.0,4359.0,4516.0,68.0,,LATE JURASSIC       ,ULA FM              ,NORTH SEA,MÆRSK JUTLANDER,SEMISUB STEEL,MOVEABLE,,6,NO,APPRAISAL,NOT APPLICABLE,1998,1998,1/3-K-1   ,,5,ULA FM,LATE JURASSIC,,,                    ,                    ,85,NO,,,,ED50  ,56,58,57.93,N,2,57,31.44,E,56.982758,2.958733,6315608.87,497491.85,31,1,3,initial             , ,9,S,, ,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3362,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=3362,initial             ,                                        ,2010-04-30,2000-07-31,2001-06-04,3362,,,43826.0,1028599.0,296353.0,4320,21316.0,,,2024-01-02,2024-01-02,22.03.2024,4336.0,36.99
14,1/3-10,EXPLORATION,1/3-10,DONG E&P Norge AS,274 ,APPRAISAL,P&A,OIL/GAS, NO,2007-10-25,2008-01-07,,,OSELVAR,1154-L,1/3-6 Oselvar,NO,135.0,,BPN 9202 R02 3D dataset inline 904 & crossline 3018,1.1,45.0,3288.0,3288.0,72.0,,PALEOCENE           ,LISTA FM            ,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,,NST2001,NO,APPRAISAL,,2007,2008,,,13,FORTIES FM,PALEOCENE,,,                    ,                    ,75,NO,,,,ED50  ,56,55,39.86,N,2,42,20.69,E,56.927739,2.705747,6309521.94,482089.29,31,1,3,initial             , ,10,,,https://factpages.npd.no/pbl/wellbore_press_releases/5614-1-3-10.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5614,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5614,initial             ,                                        ,2010-01-07,2010-01-07,,5614,,,43832.0,5506919.0,292114.0,0,2060266.0,,,2024-01-02,2024-01-02,22.03.2024,3243.0,39.28
15,1/3-10 A,EXPLORATION,1/3-10,DONG E&P Norge AS,274 ,APPRAISAL,P&A,OIL/GAS, NO,2008-01-07,2008-02-13,,,OSELVAR,1168-L,1/3-6 Oselvar,NO,145.0,,BPN 9202 R02 3D dataset inline 904  & crossline 3018,53.8,45.0,3335.0,3632.0,72.0,2276.0,PALEOCENE           ,SELE FM             ,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,,NST2001,NO,APPRAISAL,,2008,2008,,,13,FORTIES FM,PALEOCENE,,,                    ,                    ,38,NO,,,,ED50  ,56,55,39.86,N,2,42,20.69,E,56.927739,2.705747,6309521.94,482089.29,31,1,3,sidetrack           , ,10,A,,https://factpages.npd.no/pbl/wellbore_press_releases/5779-1-3-10-A.pdf,https://factpages.sodir.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5779,https://factmaps.sodir.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5779,sidetrack           ,1/3-10                                  ,2010-02-13,2010-02-13,,5779,,,43832.0,5506919.0,292114.0,0,2060266.0,,,2024-01-02,2024-01-02,22.03.2024,3290.0,41.76
