Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
110.0,1.0,0.50389,1.9846,910.94,1109.4,7.2685,1.9555,2.4764,501.17,0.24909,0.013687,0.046928,vapor
110.0,11.0,5.5748,0.17938,905.93,1103.2,6.0128,1.9602,2.5076,500.87,0.24437,0.013806,0.047432,vapor
110.0,21.0,10.701,0.093449,900.9,1097.1,5.6646,1.9649,2.5394,500.83,0.23944,0.013935,0.047958,vapor
110.0,31.0,15.878,0.062979,895.86,1091.1,5.4499,1.9694,2.5718,501.08,0.23428,0.014074,0.048512,vapor
110.0,41.0,21.101,0.04739,890.8,1085.1,5.2921,1.9739,2.6046,501.62,0.22889,0.014225,0.049095,vapor
110.0,51.0,26.365,0.037929,885.73,1079.2,5.1662,1.9782,2.6378,502.46,0.22328,0.014386,0.049709,vapor
110.0,51.0,26.365,0.037929,885.73,1079.2,5.1662,1.9782,2.6378,502.46,0.22328,0.014386,0.049709,supercritical
110.0,51.0,26.365,0.037929,885.73,1079.2,5.1662,1.9782,2.6378,502.46,0.22328,0.014386,0.049709,supercritical
110.0,61.0,31.662,0.031583,880.66,1073.3,5.0607,1.9825,2.6711,503.61,0.21745,0.014559,0.050353,supercritical
110.0,71.0,36.987,0.027036,875.6,1067.6,4.9694,1.9867,2.7045,505.09,0.21141,0.014742,0.051029,supercritical
110.0,81.0,42.332,0.023623,870.54,1061.9,4.8887,1.9907,2.7378,506.91,0.20517,0.014935,0.051735,supercritical
110.0,91.0,47.689,0.020969,865.51,1056.3,4.8162,1.9946,2.7709,509.07,0.19876,0.01514,0.052473,supercritical
110.0,101.0,53.05,0.01885,860.49,1050.9,4.7501,1.9985,2.8035,511.58,0.19219,0.015354,0.053241,supercritical
110.0,111.0,58.407,0.017121,855.51,1045.6,4.6893,2.0022,2.8355,514.44,0.18549,0.015578,0.054038,supercritical
110.0,121.0,63.75,0.015686,850.56,1040.4,4.633,2.0057,2.8668,517.65,0.1787,0.015812,0.054862,supercritical
110.0,131.0,69.072,0.014478,845.65,1035.3,4.5805,2.0092,2.8971,521.21,0.17183,0.016055,0.055713,supercritical
110.0,141.0,74.363,0.013447,840.8,1030.4,4.5313,2.0125,2.9264,525.12,0.16492,0.016306,0.056587,supercritical
110.0,151.0,79.616,0.01256,836.0,1025.7,4.485,2.0157,2.9545,529.37,0.15801,0.016566,0.057483,supercritical
110.0,161.0,84.822,0.011789,831.26,1021.1,4.4413,2.0188,2.9813,533.95,0.15111,0.016833,0.058398,supercritical
110.0,171.0,89.973,0.011114,826.59,1016.6,4.3999,2.0217,3.0067,538.86,0.14427,0.017107,0.059329,supercritical
110.0,181.0,95.063,0.010519,822.0,1012.4,4.3606,2.0246,3.0306,544.08,0.1375,0.017387,0.060274,supercritical
110.0,191.0,100.08,0.0099915,817.48,1008.3,4.3231,2.0273,3.053,549.59,0.13083,0.017674,0.06123,supercritical
110.0,201.0,105.03,0.0095209,813.04,1004.4,4.2875,2.03,3.0739,555.39,0.12428,0.017965,0.062194,supercritical
110.0,211.0,109.9,0.0090991,808.68,1000.7,4.2535,2.0325,3.0932,561.46,0.11787,0.018262,0.063164,supercritical
110.0,221.0,114.69,0.0087194,804.42,997.12,4.2209,2.035,3.111,567.77,0.11162,0.018562,0.064136,supercritical
110.0,231.0,119.38,0.0083763,800.24,993.73,4.1898,2.0374,3.1273,574.32,0.10554,0.018866,0.06511,supercritical
110.0,241.0,123.99,0.008065,796.15,990.51,4.16,2.0397,3.1421,581.09,0.099628,0.019173,0.066082,supercritical
110.0,251.0,128.51,0.0077816,792.15,987.47,4.1313,2.0419,3.1554,588.06,0.093905,0.019483,0.06705,supercritical
110.0,261.0,132.93,0.0075228,788.24,984.59,4.1038,2.0441,3.1674,595.21,0.088372,0.019795,0.068014,supercritical
110.0,271.0,137.26,0.0072857,784.43,981.87,4.0774,2.0462,3.1781,602.52,0.083032,0.020108,0.068972,supercritical
110.0,281.0,141.49,0.0070678,780.7,979.31,4.052,2.0482,3.1876,609.99,0.077887,0.020423,0.069923,supercritical
110.0,291.0,145.62,0.0068671,777.07,976.9,4.0276,2.0502,3.1959,617.59,0.072935,0.020739,0.070865,supercritical
110.0,301.0,149.66,0.0066818,773.52,974.64,4.004,2.0522,3.2032,625.3,0.068176,0.021055,0.071798,supercritical
110.0,311.0,153.61,0.0065102,770.07,972.53,3.9813,2.0541,3.2094,633.13,0.063606,0.021371,0.072723,supercritical
110.0,321.0,157.46,0.0063509,766.69,970.56,3.9593,2.056,3.2148,641.04,0.059222,0.021687,0.073637,supercritical
110.0,331.0,161.22,0.0062029,763.41,968.72,3.9382,2.0578,3.2192,649.03,0.05502,0.022003,0.074542,supercritical
110.0,341.0,164.88,0.0060648,760.21,967.02,3.9177,2.0596,3.2229,657.09,0.050994,0.022318,0.075436,supercritical
110.0,351.0,168.47,0.0059359,757.08,965.43,3.8979,2.0614,3.2259,665.2,0.047139,0.022633,0.07632,supercritical
