Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
130.0,1.0,1.3153,0.76031,524.21,600.24,3.0098,0.75358,0.94429,308.39,0.52161,0.019775,0.024974,vapor
130.0,11.0,14.728,0.067898,520.57,595.26,2.5478,0.7606,0.97018,305.64,0.5184,0.019923,0.025436,vapor
130.0,21.0,28.633,0.034925,516.84,590.18,2.4163,0.76781,0.99829,303.01,0.5145,0.020092,0.025937,vapor
130.0,31.0,43.059,0.023224,512.99,584.99,2.3332,0.77518,1.0288,300.52,0.50983,0.020285,0.026481,vapor
130.0,41.0,58.035,0.017231,509.04,579.69,2.2706,0.78269,1.062,298.17,0.5043,0.020504,0.027074,vapor
130.0,51.0,73.592,0.013589,504.98,574.28,2.2193,0.79033,1.0979,295.98,0.49781,0.020754,0.027724,vapor
130.0,61.0,89.758,0.011141,500.8,568.76,2.1751,0.79807,1.1368,294.0,0.49027,0.021037,0.028436,vapor
130.0,71.0,106.56,0.0093843,496.5,563.13,2.1358,0.80586,1.1789,292.24,0.48159,0.02136,0.029218,vapor
130.0,81.0,124.02,0.0080631,492.09,557.41,2.1,0.81368,1.2242,290.76,0.47169,0.021726,0.030077,vapor
130.0,81.0,124.02,0.0080631,492.09,557.41,2.1,0.81368,1.2242,290.76,0.47169,0.021726,0.030077,supercritical
130.0,81.0,124.02,0.0080631,492.09,557.41,2.1,0.81368,1.2242,290.76,0.47169,0.021726,0.030077,supercritical
130.0,91.0,142.16,0.0070345,487.57,551.59,2.0669,0.82146,1.2727,289.59,0.46052,0.02214,0.031021,supercritical
130.0,101.0,160.97,0.0062123,482.94,545.69,2.0359,0.82917,1.3242,288.78,0.44804,0.022608,0.032056,supercritical
130.0,111.0,180.45,0.0055416,478.21,539.73,2.0066,0.83672,1.3786,288.39,0.43427,0.023137,0.033186,supercritical
130.0,121.0,200.58,0.0049856,473.4,533.72,1.9786,0.84405,1.4353,288.48,0.41923,0.02373,0.034415,supercritical
130.0,131.0,221.3,0.0045188,468.51,527.7,1.9519,0.8511,1.4936,289.11,0.40302,0.024394,0.035741,supercritical
130.0,141.0,242.54,0.004123,463.56,521.69,1.9263,0.85777,1.5526,290.33,0.38576,0.025133,0.037163,supercritical
130.0,151.0,264.21,0.0037849,458.58,515.73,1.9017,0.86399,1.6111,292.19,0.36763,0.025948,0.03867,supercritical
130.0,161.0,286.18,0.0034943,453.6,509.86,1.8782,0.86971,1.6677,294.73,0.34884,0.026842,0.040252,supercritical
130.0,171.0,308.31,0.0032435,448.65,504.11,1.8555,0.87487,1.721,297.99,0.32963,0.027814,0.041894,supercritical
130.0,181.0,330.43,0.0030263,443.75,498.53,1.8339,0.87944,1.7696,301.96,0.31027,0.028858,0.043577,supercritical
130.0,191.0,352.39,0.0028378,438.94,493.14,1.8133,0.88341,1.8125,306.64,0.29102,0.029971,0.045285,supercritical
130.0,201.0,374.02,0.0026736,434.25,487.99,1.7937,0.8868,1.8487,311.99,0.27216,0.031142,0.047001,supercritical
130.0,211.0,395.18,0.0025305,429.69,483.09,1.7751,0.88963,1.8779,317.97,0.2539,0.032364,0.048708,supercritical
130.0,221.0,415.74,0.0024053,425.3,478.46,1.7575,0.89195,1.9003,324.51,0.23642,0.033626,0.050396,supercritical
130.0,231.0,435.61,0.0022956,421.07,474.1,1.7408,0.89383,1.9161,331.55,0.21984,0.034916,0.052055,supercritical
130.0,241.0,454.73,0.0021991,417.03,470.03,1.7252,0.89532,1.9259,339.01,0.20423,0.036227,0.053677,supercritical
130.0,251.0,473.04,0.002114,413.17,466.23,1.7104,0.89649,1.9305,346.84,0.18963,0.037547,0.055259,supercritical
130.0,261.0,490.52,0.0020386,409.5,462.71,1.6965,0.89739,1.9307,354.95,0.17604,0.03887,0.056798,supercritical
130.0,271.0,507.19,0.0019716,406.0,459.43,1.6834,0.89808,1.9274,363.3,0.16343,0.040188,0.058292,supercritical
130.0,281.0,523.05,0.0019119,402.68,456.4,1.6711,0.8986,1.9213,371.82,0.15177,0.041497,0.059743,supercritical
130.0,291.0,538.13,0.0018583,399.52,453.6,1.6594,0.899,1.9132,380.46,0.14101,0.042791,0.061149,supercritical
130.0,301.0,552.47,0.0018101,396.52,451.0,1.6485,0.8993,1.9036,389.17,0.1311,0.044069,0.062514,supercritical
130.0,311.0,566.1,0.0017665,393.66,448.6,1.6381,0.89954,1.893,397.91,0.12198,0.045327,0.063838,supercritical
130.0,321.0,579.07,0.0017269,390.94,446.38,1.6282,0.89973,1.8818,406.65,0.11359,0.046564,0.065124,supercritical
130.0,331.0,591.41,0.0016909,388.35,444.32,1.6189,0.8999,1.8704,415.36,0.10587,0.04778,0.066375,supercritical
130.0,341.0,603.17,0.0016579,385.88,442.41,1.61,0.90005,1.8588,424.01,0.098748,0.048975,0.06759,supercritical
130.0,351.0,614.4,0.0016276,383.51,440.64,1.6015,0.90019,1.8473,432.59,0.092181,0.050147,0.068774,supercritical
130.0,361.0,625.12,0.0015997,381.25,439.0,1.5935,0.90033,1.8359,441.08,0.086112,0.051298,0.069928,supercritical
130.0,371.0,635.37,0.0015739,379.09,437.48,1.5858,0.90048,1.8248,449.49,0.080493,0.052427,0.071053,supercritical
130.0,381.0,645.19,0.0015499,377.01,436.06,1.5784,0.90063,1.8139,457.8,0.07528,0.053537,0.072151,supercritical
130.0,391.0,654.6,0.0015277,375.01,434.74,1.5713,0.90079,1.8033,466.01,0.070434,0.054626,0.073224,supercritical
130.0,401.0,663.63,0.0015069,373.09,433.52,1.5645,0.90096,1.793,474.12,0.065919,0.055696,0.074274,supercritical
130.0,411.0,672.31,0.0014874,371.25,432.38,1.5579,0.90114,1.7831,482.13,0.061704,0.056747,0.0753,supercritical
130.0,421.0,680.67,0.0014691,369.47,431.32,1.5516,0.90134,1.7734,490.03,0.057761,0.05778,0.076306,supercritical
130.0,431.0,688.71,0.001452,367.75,430.33,1.5456,0.90154,1.764,497.84,0.054066,0.058796,0.077291,supercritical
130.0,441.0,696.46,0.0014358,366.09,429.41,1.5397,0.90176,1.755,505.55,0.050597,0.059795,0.078257,supercritical
130.0,451.0,703.94,0.0014206,364.48,428.55,1.534,0.90199,1.7462,513.16,0.047335,0.060778,0.079205,supercritical
130.0,461.0,711.17,0.0014061,362.93,427.75,1.5285,0.90222,1.7378,520.67,0.044264,0.061745,0.080136,supercritical
130.0,471.0,718.16,0.0013925,361.43,427.01,1.5232,0.90247,1.7296,528.09,0.041367,0.062698,0.081051,supercritical
130.0,481.0,724.92,0.0013795,359.97,426.32,1.5181,0.90273,1.7218,535.41,0.038632,0.063636,0.08195,supercritical
130.0,491.0,731.47,0.0013671,358.55,425.68,1.5131,0.903,1.7142,542.63,0.036047,0.064561,0.082834,supercritical
130.0,501.0,737.82,0.0013553,357.18,425.08,1.5082,0.90328,1.7068,549.77,0.0336,0.065472,0.083704,supercritical
130.0,511.0,743.98,0.0013441,355.85,424.53,1.5035,0.90356,1.6998,556.81,0.031282,0.066371,0.084561,supercritical
130.0,521.0,749.96,0.0013334,354.55,424.02,1.4989,0.90386,1.693,563.75,0.029084,0.067258,0.085405,supercritical
130.0,531.0,755.77,0.0013232,353.29,423.55,1.4945,0.90416,1.6864,570.61,0.026997,0.068134,0.086237,supercritical
130.0,541.0,761.42,0.0013133,352.06,423.11,1.4901,0.90447,1.6801,577.39,0.025014,0.068998,0.087058,supercritical
130.0,551.0,766.91,0.0013039,350.86,422.71,1.4859,0.90478,1.674,584.07,0.023127,0.069851,0.087867,supercritical
130.0,561.0,772.27,0.0012949,349.69,422.33,1.4817,0.90511,1.6682,590.67,0.021332,0.070694,0.088665,supercritical
130.0,571.0,777.48,0.0012862,348.55,421.99,1.4777,0.90544,1.6626,597.18,0.019621,0.071528,0.089454,supercritical
130.0,581.0,782.57,0.0012778,347.44,421.68,1.4737,0.90577,1.6571,603.62,0.017989,0.072352,0.090232,supercritical
130.0,591.0,787.53,0.0012698,346.35,421.4,1.4698,0.90612,1.6519,609.97,0.016432,0.073167,0.091002,supercritical
130.0,601.0,792.37,0.001262,345.29,421.14,1.4661,0.90646,1.6469,616.24,0.014944,0.073973,0.091762,supercritical
130.0,611.0,797.1,0.0012546,344.25,420.9,1.4624,0.90682,1.642,622.44,0.013522,0.074771,0.092514,supercritical
130.0,621.0,801.72,0.0012473,343.23,420.69,1.4587,0.90718,1.6373,628.56,0.012161,0.075561,0.093258,supercritical
130.0,631.0,806.23,0.0012403,342.24,420.51,1.4552,0.90754,1.6328,634.61,0.010858,0.076343,0.093994,supercritical
130.0,641.0,810.65,0.0012336,341.27,420.34,1.4517,0.90791,1.6285,640.58,0.0096096,0.077117,0.094722,supercritical
130.0,651.0,814.98,0.001227,340.31,420.19,1.4483,0.90828,1.6243,646.49,0.0084123,0.077885,0.095443,supercritical
130.0,661.0,819.21,0.0012207,339.38,420.06,1.4449,0.90866,1.6202,652.33,0.0072633,0.078645,0.096157,supercritical
130.0,671.0,823.36,0.0012145,338.46,419.96,1.4416,0.90904,1.6163,658.1,0.0061599,0.079399,0.096864,supercritical
130.0,681.0,827.42,0.0012086,337.56,419.87,1.4384,0.90942,1.6126,663.8,0.0050994,0.080147,0.097564,supercritical
130.0,691.0,831.41,0.0012028,336.68,419.79,1.4352,0.90981,1.6089,669.44,0.0040796,0.080888,0.098258,supercritical
130.0,701.0,835.32,0.0011972,335.81,419.73,1.4321,0.91021,1.6054,675.02,0.0030983,0.081624,0.098947,supercritical
130.0,711.0,839.15,0.0011917,334.96,419.69,1.4291,0.9106,1.6019,680.53,0.0021533,0.082353,0.099629,supercritical
130.0,721.0,842.92,0.0011864,334.13,419.66,1.426,0.911,1.5986,685.99,0.0012428,0.083078,0.10031,supercritical
130.0,731.0,846.61,0.0011812,333.31,419.65,1.4231,0.9114,1.5954,691.39,0.00036499,0.083797,0.10098,supercritical
130.0,741.0,850.24,0.0011761,332.5,419.65,1.4201,0.91181,1.5923,696.73,-0.00048184,0.08451,0.10164,supercritical
130.0,751.0,853.81,0.0011712,331.71,419.67,1.4173,0.91222,1.5893,702.01,-0.0012992,0.085219,0.1023,supercritical
130.0,761.0,857.31,0.0011664,330.93,419.69,1.4144,0.91263,1.5864,707.25,-0.0020887,0.085923,0.10296,supercritical
130.0,771.0,860.76,0.0011618,330.16,419.73,1.4116,0.91304,1.5836,712.43,-0.0028515,0.086622,0.10361,supercritical
130.0,781.0,864.15,0.0011572,329.41,419.78,1.4089,0.91346,1.5808,717.55,-0.003589,0.087317,0.10426,supercritical
130.0,791.0,867.48,0.0011528,328.66,419.85,1.4062,0.91388,1.5782,722.63,-0.0043025,0.088007,0.1049,supercritical
130.0,801.0,870.76,0.0011484,327.93,419.92,1.4035,0.9143,1.5756,727.65,-0.0049929,0.088693,0.10553,supercritical
130.0,811.0,873.99,0.0011442,327.21,420.0,1.4009,0.91472,1.5731,732.63,-0.0056615,0.089375,0.10617,supercritical
130.0,821.0,877.17,0.00114,326.5,420.1,1.3983,0.91515,1.5706,737.56,-0.0063091,0.090053,0.1068,supercritical
130.0,831.0,880.3,0.001136,325.8,420.2,1.3957,0.91558,1.5683,742.45,-0.0069368,0.090727,0.10742,supercritical
130.0,841.0,883.38,0.001132,325.11,420.32,1.3932,0.91601,1.566,747.29,-0.0075454,0.091398,0.10804,supercritical
130.0,851.0,886.42,0.0011281,324.43,420.44,1.3907,0.91644,1.5637,752.08,-0.0081358,0.092065,0.10866,supercritical
130.0,861.0,889.42,0.0011243,323.76,420.57,1.3882,0.91687,1.5615,756.83,-0.0087087,0.092728,0.10927,supercritical
130.0,871.0,892.37,0.0011206,323.1,420.71,1.3858,0.91731,1.5594,761.54,-0.0092649,0.093388,0.10988,supercritical
130.0,881.0,895.28,0.001117,322.45,420.86,1.3834,0.91775,1.5573,766.21,-0.0098051,0.094044,0.11049,supercritical
130.0,891.0,898.15,0.0011134,321.81,421.02,1.381,0.91819,1.5553,770.84,-0.01033,0.094698,0.11109,supercritical
130.0,901.0,900.98,0.0011099,321.18,421.18,1.3787,0.91863,1.5533,775.42,-0.01084,0.095348,0.1117,supercritical
130.0,911.0,903.78,0.0011065,320.55,421.35,1.3763,0.91907,1.5514,779.97,-0.011336,0.095995,0.1123,supercritical
130.0,921.0,906.53,0.0011031,319.94,421.53,1.374,0.91951,1.5495,784.48,-0.011819,0.096639,0.1129,supercritical
130.0,931.0,909.25,0.0010998,319.33,421.72,1.3718,0.91996,1.5477,788.95,-0.012288,0.097281,0.11349,supercritical
130.0,941.0,911.94,0.0010966,318.73,421.91,1.3695,0.9204,1.5459,793.38,-0.012745,0.097919,0.11408,supercritical
130.0,951.0,914.59,0.0010934,318.13,422.11,1.3673,0.92085,1.5442,797.78,-0.01319,0.098555,0.11467,supercritical
130.0,961.0,917.21,0.0010903,317.54,422.32,1.3651,0.9213,1.5425,802.14,-0.013623,0.099188,0.11526,supercritical
130.0,971.0,919.8,0.0010872,316.97,422.53,1.3629,0.92175,1.5408,806.47,-0.014045,0.099819,0.11584,supercritical
130.0,981.0,922.35,0.0010842,316.39,422.75,1.3608,0.9222,1.5392,810.76,-0.014457,0.10045,0.11642,supercritical
130.0,991.0,924.87,0.0010812,315.83,422.98,1.3587,0.92265,1.5376,815.02,-0.014858,0.10107,0.117,supercritical
130.0,1001.0,927.37,0.0010783,315.27,423.21,1.3566,0.9231,1.5361,819.24,-0.015249,0.1017,0.11757,supercritical
