Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Therm. Cond. (W/m*K),Phase
120.0,1.0,0.06164,16.223,3678.7,5301.0,57.416,10.35,14.475,1506.7,-0.042882,0.010779,0.22824,vapor
120.0,11.0,0.67478,1.482,3677.1,5307.2,47.522,10.356,14.489,1514.3,-0.043057,0.010781,0.22932,vapor
120.0,21.0,1.282,0.78,3675.5,5313.5,44.85,10.362,14.503,1521.8,-0.043248,0.010783,0.2303,vapor
120.0,21.0,1.282,0.78,3675.5,5313.5,44.85,10.362,14.503,1521.8,-0.043248,0.010783,0.2303,supercritical
120.0,21.0,1.282,0.78,3675.5,5313.5,44.85,10.362,14.503,1521.8,-0.043248,0.010783,0.2303,supercritical
120.0,31.0,1.8835,0.53092,3673.9,5319.8,43.24,10.368,14.517,1529.4,-0.043453,0.010787,0.23121,supercritical
120.0,41.0,2.4793,0.40335,3672.4,5326.1,42.083,10.375,14.531,1537.0,-0.043669,0.010792,0.23204,supercritical
120.0,51.0,3.0693,0.3258,3670.9,5332.5,41.179,10.381,14.544,1544.5,-0.043893,0.010797,0.2328,supercritical
120.0,61.0,3.6538,0.27369,3669.4,5338.9,40.437,10.387,14.557,1552.1,-0.044123,0.010804,0.23351,supercritical
120.0,71.0,4.2328,0.23625,3668.0,5345.3,39.807,10.393,14.569,1559.7,-0.044358,0.010811,0.23417,supercritical
120.0,81.0,4.8063,0.20806,3666.5,5351.8,39.26,10.399,14.581,1567.3,-0.044595,0.010819,0.23479,supercritical
120.0,91.0,5.3745,0.18607,3665.1,5358.3,38.777,10.405,14.593,1574.9,-0.044833,0.010828,0.23538,supercritical
120.0,101.0,5.9373,0.16843,3663.8,5364.9,38.343,10.411,14.604,1582.4,-0.045071,0.010838,0.23593,supercritical
120.0,111.0,6.4948,0.15397,3662.4,5371.5,37.951,10.418,14.615,1590.0,-0.045308,0.010849,0.23646,supercritical
120.0,121.0,7.0471,0.1419,3661.1,5378.1,37.592,10.424,14.626,1597.6,-0.045544,0.01086,0.23698,supercritical
120.0,131.0,7.5943,0.13168,3659.9,5384.8,37.261,10.43,14.637,1605.2,-0.045777,0.010872,0.23748,supercritical
120.0,141.0,8.1365,0.1229,3658.6,5391.5,36.955,10.436,14.647,1612.8,-0.046006,0.010885,0.23796,supercritical
120.0,151.0,8.6736,0.11529,3657.4,5398.3,36.669,10.442,14.657,1620.3,-0.046232,0.010898,0.23844,supercritical
120.0,161.0,9.2057,0.10863,3656.2,5405.1,36.402,10.448,14.666,1627.9,-0.046454,0.010912,0.23892,supercritical
120.0,171.0,9.733,0.10274,3655.0,5411.9,36.151,10.454,14.676,1635.5,-0.046672,0.010927,0.23939,supercritical
120.0,181.0,10.255,0.097509,3653.9,5418.8,35.914,10.46,14.685,1643.0,-0.046884,0.010942,0.23986,supercritical
120.0,191.0,10.773,0.092824,3652.8,5425.7,35.689,10.466,14.693,1650.6,-0.047092,0.010958,0.24033,supercritical
